qty,entry_price,exit_price,buy_value,sell_value,gross_pnl,net_pnl,fees,return_pct,exit_reason,score,expected_net,symbol,surge_probability,predicted_mfe,p_hit_2_5,p_hit_3,p_hit_4,p_hit_5,regime,regime_score,validation_precision,mfe_validation_mae,mfe_validation_rank_ic,signal_date,entry_date,portfolio_size,configured_portfolio_size,stop_loss_pct,target_pct
162,615.3075,630.37484240625,99679.815,102120.7244698125,2440.9094698124973,2356.7717937437583,84.13767606873901,0.023567717937437584,take_profit,0.06970228192440354,0.0006681408286094677,SBCL,0.8525826334953308,0.028517436236143112,0.5592920184135437,0.5765407681465149,0.45085468888282776,0.42204567790031433,risk_off,0.20506391261650792,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-24,2026-04-27,1,1,0.02,0.025
173,591.2955,605.7748485562499,102294.1215,104799.04880023123,2504.92730023124,2419.8208582529596,85.10644197828044,0.023641043145919766,take_profit,0.09963449069325744,0.00025806325674057,RAYMONDREL,0.8039150238037109,0.03468906506896019,0.5501791834831238,0.6902927756309509,0.6272401213645935,0.6216216087341309,risk_on,0.8177920516261694,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-06,2026-05-07,1,1,0.02,0.025
254,410.90534999999994,420.9673947581249,104369.95889999998,106925.71826856372,2555.7593685637403,2469.8836975348986,85.87567102884172,0.02357285759175554,take_profit,0.09910576772297124,0.009664304733276369,OMNI,0.8360778093338013,0.03849257156252861,0.7592067718505859,0.6902927756309509,0.6272401213645935,0.4984802007675171,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,1,1,0.02,0.025
204,525.2624999999999,514.4998713749999,107153.54999999999,104957.97376049998,-2195.5762395000056,-2281.077511096181,85.50127159617544,-0.021269486781661923,stop_loss,0.08524084603722808,0.00025806325674057,JARO,0.820794403553009,0.04205026105046272,0.5501791834831238,0.6902928352355957,0.6272401213645935,0.6216216087341309,neutral,0.5151967665425772,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-13,2026-05-14,1,1,0.02,0.025
108,969.4844999999999,993.2247516937499,104704.32599999999,107268.273182925,2563.9471829250106,2477.9476077373597,85.99957518765106,0.02360728044821189,take_profit,0.09068122280602359,0.004367923617362977,SHARDACROP,0.8159550428390503,0.03919868543744087,0.6415094137191772,0.5816023945808411,0.5699708461761475,0.4321267008781433,risk_off,0.36484978545997615,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-14,2026-05-15,1,1,0.02,0.025
186,576.78825,590.912352271875,107282.6145,109909.69752256875,2627.083022568753,2540.1280284186496,86.95499415010353,0.02364155727121929,take_profit,0.07808240328739778,0.004367923617362977,JINDRILL,0.845147430896759,0.04156981036067009,0.6415094137191772,0.6902927756309509,0.5699708461761475,0.4321267008781433,risk_off,0.10813114524100131,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-15,2026-05-18,1,1,0.02,0.025
421,261.03045,255.6819360795,109893.81945,107642.0950894695,-2251.7243605304975,-2338.205121881806,86.48076135130864,-0.021259604072809885,stop_and_target_same_bar_conservative_stop,0.08535565085039905,0.006645038604736327,SUVEN,0.8396520018577576,0.04062747582793236,0.6921119689941406,0.7543859481811523,0.70652174949646,0.6666666865348816,risk_off,0.10873335526910856,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-18,2026-05-19,1,1,0.02,0.025
667,161.12051999999997,157.8191605452,107467.38683999998,105265.3800836484,-2202.0067563515768,-2287.620206686074,85.61345033449747,-0.021251469947931256,stop_and_target_same_bar_conservative_stop,0.0874106132387875,0.004367926299571991,EXICOM,0.8282899856567383,0.032460179179906845,0.641509473323822,0.6902927756309509,0.5699708461761475,0.6216216087341309,risk_off,0.31291443377685235,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-29,2026-06-01,1,1,0.02,0.025
5620,18.739365,19.1982452004375,105315.2313,107894.13802645876,2578.9067264587648,2492.6807722185436,86.2259542402213,0.023659229229419678,take_profit,0.07627468180211489,0.001687645792961121,JPPOWER,0.8140388131141663,0.0380885936319828,0.5819476842880249,0.5611110925674438,0.4745483994483948,0.37569063901901245,risk_off,0.25166816434305994,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-01,2026-06-02,1,1,0.02,0.025
710,151.77585,148.6659628335,107760.8535,105552.833611785,-2208.019888215,-2293.7382361123787,85.7183478973788,-0.02126779063032249,stop_and_target_same_bar_conservative_stop,0.08709071563367271,0.0016876484751701367,AYE,0.7946009635925293,0.028296638280153275,0.5819477438926697,0.5915840864181519,0.47454842925071716,0.38297873735427856,neutral,0.4875725788244052,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-04,2026-06-05,1,1,0.02,0.025
170,620.31,607.5998480999999,105452.7,103291.97417699998,-2160.725823000015,-2245.619137904188,84.89331490417266,-0.02127407774463375,stop_and_target_same_bar_conservative_stop,0.08040358157315526,0.0006181820034980778,JSLL,0.8222261071205139,0.0356123112142086,0.5581818222999573,0.5149626135826111,0.45348837971687317,0.37569060921669006,neutral,0.4081197243648118,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-05,2026-06-08,1,1,0.02,0.025
252,409.0044,419.019895245,103069.10879999999,105593.01360174,2523.9048017400055,2438.511177950194,85.39362378981157,0.02360360296585449,take_profit,0.07466212090009172,0.0014523811936378488,E2E,0.7932965159416199,0.04061359539628029,0.5767195820808411,0.5149626135826111,0.3967828154563904,0.2853773534297943,risk_off,0.22952843917483462,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-08,2026-06-09,1,1,0.02,0.025
931,113.55675,116.33747091562499,105721.33425,108310.18542244687,2588.85117244687,2502.4747313782204,86.37644106864948,0.02366417918363274,take_profit,0.0709624056597077,0.0016876484751701367,MARSONS,0.8334611654281616,0.03358295187354088,0.5819477438926697,0.557692289352417,0.47454842925071716,0.37569060921669006,risk_off,0.15443375215832988,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-11,2026-06-12,1,1,0.02,0.025
496,217.9089,213.443946639,108082.81439999999,105868.19753294399,-2214.616867056,-2300.450297578959,85.83343052295909,-0.021250888486844133,stop_loss,0.08988781931907644,0.0014523811936378488,DECNGOLD,0.7944114208221436,0.030107956379652023,0.5767195820808411,0.557692289352417,0.45348837971687317,0.34545454382896423,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,1,1,0.02,0.025
1261,83.94195,85.99747850062501,105850.79895000001,108442.82038928813,2592.021439288117,2505.5970233596536,86.42441592846373,0.023648526264213956,take_profit,0.07006130789087217,0.0006181820034980778,ARFIN,0.803581714630127,0.028393451124429703,0.5581818222999573,0.48520708084106445,0.3967828154563904,0.2853773534297943,risk_off,0.21571197089870775,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-29,2026-06-30,1,1,0.02,0.025
341,317.30857499999996,310.80692229824996,108202.22407499999,105985.16050370324,-2217.0635712967487,-2302.939683955702,85.87611265895353,-0.021233645136920942,stop_loss,0.09656210345206338,0.0029168297648429877,SKMEGGPROD,0.7984682321548462,0.03791901841759682,0.6092628836631775,0.5656814575195312,0.44474393129348755,0.3529411852359772,neutral,0.5785416695828594,0.85,0.01710309693148387,0.06990124012740409,2026-07-01,2026-07-02,1,1,0.02,0.025
1537,69.0345,67.619983095,106106.02649999999,103931.91401701499,-2174.1124829850014,-2259.2393247832197,85.12684179821844,-0.021282625267131584,stop_and_target_same_bar_conservative_stop,0.10506309028131658,0.0029168297648429877,TIRUPATIFL,0.8103335499763489,0.03941304609179497,0.6092628836631775,0.565681517124176,0.44092220067977905,0.3185146450996399,risk_on,0.7455733508195271,0.85,0.01710309693148387,0.06990124012740409,2026-07-02,2026-07-03,1,1,0.02,0.025
329,315.70777499999997,319.2403,103867.85797499999,105030.0587,1162.2007250000024,1076.914042481238,85.28668251876425,0.010365415157165063,close_proxy,0.09655685829317037,0.0029168297648429877,SKMEGGPROD,0.7921486496925354,0.040184009820222855,0.6092628836631775,0.5656814575195312,0.44474393129348755,0.3529411852359772,neutral,0.5739067835997469,0.85,0.01710309693148387,0.06990124012740409,2026-07-03,2026-07-06,1,1,0.02,0.025
885,118.509225,116.08097097975,104880.664125,102731.65931707875,-2149.004807921243,-2233.693652685032,84.6888447637888,-0.021278979659220716,stop_loss,0.10403786304934187,0.006588328659534457,MBAPL,0.7685964703559875,0.026826348155736923,0.6908517479896545,0.6086956262588501,0.5134408473968506,0.40092700719833374,neutral,0.5136344955053651,0.85,0.01710309693148387,0.06990124012740409,2026-07-06,2026-07-07,1,1,0.02,0.025
