signal_date,executed,starting_equity,ending_equity,daily_pnl,daily_return_pct,portfolio_size,stop_loss_pct,regime,entry_date,peak_equity,drawdown_pct
2026-04-17,0,100000.0,100000.0,0.0,0.0,5,0.015,risk_on,,100000.0,0.0
2026-04-20,0,100000.0,100000.0,0.0,0.0,5,0.015,neutral,,100000.0,0.0
2026-04-21,0,100000.0,100000.0,0.0,0.0,5,0.015,risk_on,,100000.0,0.0
2026-04-22,0,100000.0,100000.0,0.0,0.0,5,0.015,risk_on,,100000.0,0.0
2026-04-23,0,100000.0,100000.0,0.0,0.0,5,0.015,risk_off,,100000.0,0.0
2026-04-24,1,100000.0,102356.77179374376,2356.7717937437583,0.023567717937437584,1,0.015,risk_off,2026-04-27,102356.77179374376,0.0
2026-04-27,0,102356.77179374376,102356.77179374376,0.0,0.0,5,0.015,risk_on,,102356.77179374376,0.0
2026-04-28,0,102356.77179374376,102356.77179374376,0.0,0.0,5,0.015,risk_off,,102356.77179374376,0.0
2026-04-29,1,102356.77179374376,101947.47818280262,-409.29361094114245,-0.003998695970657403,3,0.015,neutral,2026-04-30,102356.77179374376,-0.003998695970657384
2026-04-30,0,101947.47818280262,101947.47818280262,0.0,0.0,5,0.015,risk_off,,102356.77179374376,-0.003998695970657384
2026-05-04,1,101947.47818280262,100291.4946340668,-1655.9835487358202,-0.01624349692855047,1,0.015,risk_on,2026-05-05,102356.77179374376,-0.020177240093490312
2026-05-05,1,100291.4946340668,98626.9991190764,-1664.4955149904013,-0.01659657701845645,2,0.015,neutral,2026-05-06,102356.77179374376,-0.03643894399271519
2026-05-06,1,98626.9991190764,98902.226555453,275.22743637660204,0.0027905891777596187,4,0.015,risk_on,2026-05-07,102356.77179374376,-0.03375004093771061
2026-05-07,1,98902.226555453,99217.80654639674,315.57999094373076,0.003190827971570385,2,0.015,risk_on,2026-05-08,102356.77179374376,-0.030666903540805923
2026-05-08,1,99217.80654639674,97599.50792901259,-1618.2986173841455,-0.016310566356124677,1,0.015,neutral,2026-05-11,102356.77179374376,-0.04647727533179136
2026-05-11,0,97599.50792901259,97599.50792901259,0.0,0.0,5,0.015,risk_off,,102356.77179374376,-0.04647727533179136
2026-05-12,1,97599.50792901259,98157.63447322756,558.1265442149771,0.005718538505551907,5,0.015,risk_off,2026-05-13,102356.77179374376,-0.04102451891485748
2026-05-13,1,98157.63447322756,96431.63199412216,-1726.0024791054054,-0.017583986088990068,4,0.015,neutral,2026-05-14,102356.77179374376,-0.057887130433941225
2026-05-14,1,96431.63199412216,98699.15063454806,2267.5186404258984,0.02351426179911703,1,0.015,risk_off,2026-05-15,102356.77179374376,-0.03573404177464745
2026-05-15,1,98699.15063454806,100973.99260031221,2274.8419657641552,0.02304824257492529,2,0.015,risk_off,2026-05-18,102356.77179374376,-0.01350940606272677
2026-05-18,1,100973.99260031221,100260.51746350237,-713.475136809844,-0.007065929735333036,5,0.015,risk_off,2026-05-19,102356.77179374376,-0.02047987928405448
2026-05-19,1,100260.51746350237,98630.04126235492,-1630.4762011474593,-0.016262395630872322,1,0.015,risk_on,2026-05-20,102356.77179374376,-0.03640922301553695
2026-05-20,1,98630.04126235492,96930.14508619359,-1699.8961761613346,-0.017235075179981196,3,0.015,neutral,2026-05-21,102356.77179374376,-0.05301678249960062
2026-05-21,1,96930.14508619359,95932.60227302826,-997.542813165337,-0.010291357887458932,5,0.015,neutral,2026-05-22,102356.77179374376,-0.06276252570431451
2026-05-22,1,95932.60227302826,96235.44833877457,302.84606574631505,0.0031568628242190522,2,0.015,neutral,2026-05-25,102356.77179374376,-0.05980379556424553
2026-05-25,1,96235.44833877457,94624.62918970778,-1610.8191490667898,-0.01673831396718052,2,0.015,risk_on,2026-05-26,102356.77179374376,-0.07554109482484272
2026-05-26,1,94624.62918970778,93883.69532833537,-740.9338613724142,-0.007830243222268867,4,0.015,neutral,2026-05-27,102356.77179374376,-0.08277983290135649
2026-05-27,1,93883.69532833537,94178.59928599975,294.9039576643837,0.0031411626548468177,2,0.015,risk_on,2026-05-29,102356.77179374376,-0.07989869516619386
2026-05-29,1,94178.59928599975,92600.50094053344,-1578.0983454663117,-0.01675644315619914,2,0.015,risk_off,2026-06-01,102356.77179374376,-0.09531632037858617
2026-06-01,1,92600.50094053344,94785.86517803515,2185.3642375017043,0.023599918092290992,1,0.015,risk_off,2026-06-02,102356.77179374376,-0.0739658596400884
2026-06-02,1,94785.86517803515,93149.38410434955,-1636.4810736856036,-0.017265032825430467,3,0.015,neutral,2026-06-03,102356.77179374376,-0.08995386947087147
2026-06-03,0,93149.38410434955,93149.38410434955,0.0,0.0,5,0.015,risk_off,,102356.77179374376,-0.08995386947087147
2026-06-04,1,93149.38410434955,92421.54094400699,-727.8431603425506,-0.007813719514529398,4,0.015,neutral,2026-06-05,102356.77179374376,-0.09706471468010902
2026-06-05,1,92421.54094400699,90876.32976647494,-1545.2111775320518,-0.016719167000993938,2,0.015,neutral,2026-06-08,102356.77179374376,-0.11216104050646236
2026-06-08,1,90876.32976647494,90577.17292226467,-299.15684421026884,-0.003291911600952775,3,0.015,risk_off,2026-06-09,102356.77179374376,-0.11508372787699694
2026-06-09,0,90577.17292226467,90577.17292226467,0.0,0.0,5,0.015,risk_on,,102356.77179374376,-0.11508372787699694
2026-06-10,0,90577.17292226467,90577.17292226467,0.0,0.0,5,0.015,risk_off,,102356.77179374376,-0.11508372787699694
2026-06-11,1,90577.17292226467,92659.77290957431,2082.599987309646,0.022992547902736814,2,0.015,risk_off,2026-06-12,102356.77179374376,-0.0947372481002976
2026-06-12,1,92659.77290957431,94836.30110902654,2176.5281994522156,0.023489461835572018,1,0.015,risk_on,2026-06-15,102356.77179374376,-0.07347311323838457
2026-06-15,0,94836.30110902654,94836.30110902654,0.0,0.0,5,0.015,risk_on,,102356.77179374376,-0.07347311323838457
2026-06-16,1,94836.30110902654,93287.94925768902,-1548.3518513375127,-0.01632657361401604,1,0.015,risk_on,2026-06-17,102356.77179374376,-0.08860012266046324
2026-06-17,0,93287.94925768902,93287.94925768902,0.0,0.0,5,0.015,risk_on,,102356.77179374376,-0.08860012266046324
2026-06-18,0,93287.94925768902,93287.94925768902,0.0,0.0,5,0.015,risk_on,,102356.77179374376,-0.08860012266046324
