qty,entry_price,exit_price,buy_value,sell_value,gross_pnl,net_pnl,fees,return_pct,exit_reason,score,expected_net,symbol,surge_probability,predicted_mfe,p_hit_2_5,p_hit_3,p_hit_4,p_hit_5,regime,regime_score,validation_precision,mfe_validation_mae,mfe_validation_rank_ic,signal_date,entry_date,portfolio_size,configured_portfolio_size,stop_loss_pct,target_pct
162,615.3075,630.37484240625,99679.815,102120.7244698125,2440.9094698124973,2356.7717937437583,84.13767606873901,0.023567717937437584,take_profit,0.07190582183233582,0.002871680736541749,SBCL,0.8525826334953308,0.028517436236143112,0.5592920184135437,0.5765407681465149,0.45085468888282776,0.42204567790031433,risk_off,0.20506391261650792,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-24,2026-04-27,1,5,0.015,0.025
28,1200.6,1229.9996924999998,33616.799999999996,34439.991389999996,823.19139,763.5342393836231,59.657150616376896,0.022378614311582612,take_profit,0.07913929339893408,0.0016382102966308607,WHEELS,0.8452929854393005,0.028446946293115616,0.5284552574157715,0.5765407681465149,0.45085465908050537,0.42204564809799194,neutral,0.4362172546282902,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-29,2026-04-30,3,5,0.015,0.025
178,191.0955,188.13495296624998,34014.998999999996,33488.02162799249,-526.9773720075027,-586.3853783748945,59.4080063673917,-0.017186514426905816,stop_and_target_same_bar_conservative_stop,0.07550618242867538,0.000612712383270265,AEQUS,0.8136524558067322,0.028008263558149338,0.5028178095817566,0.45955368876457214,0.3530499041080475,0.29805997014045715,neutral,0.4362172546282902,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-29,2026-04-30,3,5,0.015,0.025
269,126.4632,124.50396887400001,34018.6008,33491.567627106,-527.033172894,-586.4424719498711,59.409299055871095,-0.017188187796649004,stop_loss,0.07539853569515295,0.000612712383270265,DEVYANI,0.8495975732803345,0.026931796222925186,0.5028178095817566,0.5282700657844543,0.39957720041275024,0.42204567790031433,neutral,0.4362172546282902,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-29,2026-04-30,3,5,0.015,0.025
109,931.1153249999999,916.6900208274374,101491.57042499998,99919.21227019068,-1572.3581548093061,-1655.9835487358202,83.62539392651408,-0.01624349692855047,stop_and_target_same_bar_conservative_stop,0.09515008413837642,0.0005170207023620626,CEMPRO,0.8112887740135193,0.03554997965693474,0.5004255175590515,0.5013262629508972,0.4486842155456543,0.47567567229270935,risk_on,0.8207102742883143,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-04,2026-05-05,1,5,0.015,0.025
33,1490.4448499999999,1467.354133161375,49184.680049999995,48422.68639432538,-761.9936556746179,-826.8460709290921,64.85241525447415,-0.016488857284378947,stop_loss,0.07601844088166311,0.0005170207023620626,CREDITACC,0.8005046248435974,0.04220139607787132,0.5004255175590515,0.5013262629508972,0.4486842155456543,0.47567567229270935,neutral,0.4247745763121751,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-05,2026-05-06,2,5,0.015,0.025
134,372.135975,366.3706584073125,49866.220649999996,49093.66822657987,-772.5524234201221,-837.6494440613092,65.09702064118711,-0.016704296752533952,stop_loss,0.07503626511424139,0.0005170207023620626,AGIIL,0.7806146144866943,0.0323796384036541,0.5004255175590515,0.4743150770664215,0.40495866537094116,0.3654876947402954,neutral,0.4247745763121751,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-05,2026-05-06,2,5,0.015,0.025
41,591.2955,605.7748485562499,24243.115499999996,24836.768790806247,593.6532908062509,537.4696831697797,56.183607636471095,0.021798075089798512,take_profit,0.10188359477584183,0.002507167339324952,RAYMONDREL,0.8039150238037109,0.03468906506896019,0.5501791834831238,0.6902927756309509,0.6272401213645935,0.6216216087341309,risk_on,0.8177920516261694,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-06,2026-05-07,4,5,0.015,0.025
120,205.1025,201.92494951875,24612.3,24230.99394225,-381.30605775000004,-437.33942902589376,56.03337127589374,-0.01773710780748286,stop_and_target_same_bar_conservative_stop,0.09621282526318847,0.000995867729187012,MEESHO,0.805362343788147,0.030876856297254562,0.5123966932296753,0.5013262629508972,0.4486842155456543,0.4321267008781433,risk_on,0.8177920516261694,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-06,2026-05-07,4,5,0.015,0.025
4,5089.5435,5010.693747326251,20358.174,20042.774989305002,-315.39901069499683,-369.905573244667,54.506562549670164,-0.015002203313438135,stop_and_target_same_bar_conservative_stop,0.09504405670826255,0.0005170207023620626,GRWRHITECH,0.7962478995323181,0.03594881668686867,0.5004255175590515,0.5013262629508972,0.4871795177459717,0.47567570209503174,risk_on,0.8177920516261694,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-06,2026-05-07,4,5,0.015,0.025
