signal_date,executed,starting_equity,ending_equity,daily_pnl,daily_return_pct,portfolio_size,stop_loss_pct,regime,entry_date,peak_equity,drawdown_pct
2026-04-17,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-04-20,0,100000.0,100000.0,0.0,0.0,3,0.025,neutral,,100000.0,0.0
2026-04-21,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-04-22,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-04-23,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_off,,100000.0,0.0
2026-04-24,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_off,,100000.0,0.0
2026-04-27,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-04-28,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_off,,100000.0,0.0
2026-04-29,0,100000.0,100000.0,0.0,0.0,3,0.025,neutral,,100000.0,0.0
2026-04-30,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_off,,100000.0,0.0
2026-05-04,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-05-05,0,100000.0,100000.0,0.0,0.0,3,0.025,neutral,,100000.0,0.0
2026-05-06,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-05-07,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_on,,100000.0,0.0
2026-05-08,0,100000.0,100000.0,0.0,0.0,3,0.025,neutral,,100000.0,0.0
2026-05-11,0,100000.0,100000.0,0.0,0.0,3,0.025,risk_off,,100000.0,0.0
2026-05-12,1,100000.0,100616.91188737596,616.9118873759617,0.006169118873759617,3,0.025,risk_off,2026-05-13,100616.91188737596,0.0
2026-05-13,0,100616.91188737596,100616.91188737596,0.0,0.0,3,0.025,neutral,,100616.91188737596,0.0
2026-05-14,1,100616.91188737596,102977.95451327361,2361.042625897656,0.023465663789606798,1,0.025,risk_off,2026-05-15,102977.95451327361,0.0
2026-05-15,1,102977.95451327361,105406.79961573877,2428.8451024651595,0.023586068629398608,1,0.025,risk_off,2026-05-18,105406.79961573877,0.0
2026-05-18,1,105406.79961573877,104299.94909458318,-1106.850521155595,-0.010500750664953555,3,0.025,risk_off,2026-05-19,105406.79961573877,-0.010500750664953484
2026-05-19,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.010500750664953484
