qty,entry_price,exit_price,buy_value,sell_value,gross_pnl,net_pnl,fees,return_pct,exit_reason,score,expected_net,symbol,surge_probability,predicted_mfe,p_hit_2_5,p_hit_3,p_hit_4,p_hit_5,regime,regime_score,validation_precision,mfe_validation_mae,mfe_validation_rank_ic,signal_date,entry_date,portfolio_size,configured_portfolio_size,stop_loss_pct,target_pct
162,615.3075,630.37484240625,99679.815,102120.7244698125,2440.9094698124973,2356.7717937437583,84.13767606873901,0.023567717937437584,take_profit,0.06970228192440354,0.0006681408286094677,SBCL,0.8525826334953308,0.028517436236143112,0.5592920184135437,0.5765407681465149,0.45085468888282776,0.42204567790031433,risk_off,0.20506391261650792,0.7142857142857143,0.01745998371336094,0.13128876722264976,2026-04-24,2026-04-27,1,5,0.02,0.025
173,591.2955,605.7748485562499,102294.1215,104799.04880023123,2504.92730023124,2419.8208582529596,85.10644197828044,0.023641043145919766,take_profit,0.09963449069325744,0.00025806325674057,RAYMONDREL,0.8039150238037109,0.03468906506896019,0.5501791834831238,0.6902927756309509,0.6272401213645935,0.6216216087341309,risk_on,0.8177920516261694,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-06,2026-05-07,1,5,0.02,0.025
50,410.90534999999994,420.9673947581249,20545.267499999998,21048.369737906243,503.10223790624514,448.2889168375755,54.81332106866962,0.021392608095517816,take_profit,0.09910576772297124,0.009664304733276369,OMNI,0.8360778093338013,0.03849257156252861,0.7592067718505859,0.6902927756309509,0.6272401213645935,0.4984802007675171,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,5,5,0.02,0.025
57,365.1825,374.12490646875,20815.4025,21325.11966871875,509.71716871875105,454.8037455469141,54.91342317183694,0.021703499514318617,take_profit,0.09901895653808811,0.009664304733276369,AEROFLEX,0.8445746302604675,0.037624459713697433,0.7592067718505859,0.7272727489471436,0.6272401213645935,0.4984802007675171,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,5,5,0.02,0.025
21,991.5455249999999,971.22875719275,20822.456024999996,20395.80390104775,-426.65212395224444,-481.29496222977184,54.64283827752738,-0.02296767579703308,stop_and_target_same_bar_conservative_stop,0.08282251235450007,0.004250000298023224,RPSGVENT,0.8451075553894043,0.05012093856930733,0.6388888955116272,0.625,0.4486842155456543,0.3961864411830902,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,5,5,0.02,0.025
88,236.9184,242.71993931999998,20848.819199999998,21359.35466016,510.5354601600011,455.6096539872538,54.925806172747265,0.021741957934273942,take_profit,0.06936539721096255,0.00025806325674057,CMPDI,0.8239008188247681,0.04417886957526207,0.5501791834831238,0.625,0.5699708461761475,0.4761904776096344,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,5,5,0.02,0.025
103,202.60125,198.4499503875,20867.92875,20440.3448899125,-427.5838600874995,-482.2429522659984,54.659092178498874,-0.02301291443346093,stop_loss,0.06910655584538677,0.00025806325674057,MOBIKWIK,0.8091452717781067,0.041590455919504166,0.5501791834831238,0.5714285969734192,0.4871794879436493,0.3961864709854126,risk_off,0.19343057296766802,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-12,2026-05-13,5,5,0.02,0.025
200,525.2624999999999,514.4998713749999,105052.49999999999,102899.97427499997,-2152.525725000014,-2237.2759912707743,84.75026627076025,-0.021272593079573278,stop_loss,0.08524084603722808,0.00025806325674057,JARO,0.820794403553009,0.04205026105046272,0.5501791834831238,0.6902928352355957,0.6272401213645935,0.6216216087341309,neutral,0.5151967665425772,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-13,2026-05-14,1,5,0.02,0.025
106,969.4844999999999,993.2247516937499,102765.35699999999,105281.82367953748,2516.466679537494,2431.1856150014664,85.28106453602787,0.023618767879374516,take_profit,0.09068122280602359,0.004367923617362977,SHARDACROP,0.8159550428390503,0.03919868543744087,0.6415094137191772,0.5816023945808411,0.5699708461761475,0.4321267008781433,risk_off,0.36484978545997615,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-14,2026-05-15,1,5,0.02,0.025
91,576.78825,590.912352271875,52487.730749999995,53773.02405674062,1285.2933067406266,1218.6432827209524,66.6500240196743,0.02313169595271945,take_profit,0.07808240328739778,0.004367923617362977,JINDRILL,0.845147430896759,0.04156981036067009,0.6415094137191772,0.6902927756309509,0.5699708461761475,0.4321267008781433,risk_off,0.10813114524100131,0.8333333333333334,0.01698276383427659,0.18247144274491828,2026-05-15,2026-05-18,2,5,0.02,0.025
