distance,width,take_profit,stop_loss,minimum_credit,score,train_trades,train_win_rate,train_net_pnl,train_return_on_capital,train_median_trade,train_worst_trade,train_best_trade,train_profit_factor,train_max_drawdown,train_take_profit_eod_marks,train_stop_loss_eod_marks,train_forced_expiry_or_max_hold,train_negative_conservative_bound_trades,train_deep_conservative_bound_trades,window
0.02,200,0.4,1.0,10.0,-0.0704061083793804,113,0.7345132743362832,10330.09072252498,0.10330090722524979,626.8569057249997,-10983.9060071,13181.151334225,1.0877419949467102,-0.2047784224251723,82,23,8,112,29,2021
0.02,200,0.7,1.0,10.0,-0.07130646045849505,108,0.6851851851851852,17499.46932969996,0.17499469329699963,850.8104704000002,-10983.9060071,13181.151334225,1.119695791455193,-0.20708395916749012,69,28,11,106,32,2021
0.02,200,0.4,1.25,10.0,-0.07201019194982007,113,0.7433628318584071,7589.126236125001,0.07589126236125002,634.3323616750001,-10983.9060071,13181.151334225,1.0593511723032871,-0.20957039285070655,84,22,7,112,29,2021
0.02,300,0.4,1.0,10.0,-0.0744625210437776,116,0.7241379310344828,30935.606870349973,0.30935606870349974,662.8984385125,-12289.803500450003,10959.117188650005,1.2284782994185666,-0.20270425615292587,84,27,5,115,20,2021
0.02,200,0.7,1.25,10.0,-0.07597026816122514,108,0.6944444444444444,19106.554483674958,0.1910655448367496,937.5099430750001,-10983.9060071,13181.151334225,1.1248157897173903,-0.22202901369364936,71,26,11,106,33,2021
0.02,200,0.4,1.5,10.0,-0.0762210522701349,113,0.7522123893805309,2684.619027149998,0.02684619027149998,634.3323616750001,-10983.9060071,13181.151334225,1.020137557539183,-0.21889397062249105,85,21,7,112,30,2021
0.0175,250,0.5,1.0,10.0,-0.07674322645241315,129,0.6821705426356589,13357.586165525005,0.13357586165525004,724.274773975,-12136.37910485,13679.572329850002,1.070692721770057,-0.19959870493401233,87,34,8,128,28,2021
0.02,200,0.7,1.5,10.0,-0.07953312884666151,108,0.7037037037037037,14202.047274699957,0.14202047274699955,937.5099430750001,-10983.9060071,13181.151334225,1.0895893238614967,-0.23009834484063785,72,24,12,106,34,2021
0.02,150,0.7,1.25,10.0,-0.08112233223332134,104,0.6538461538461539,-9528.773637400034,-0.09528773637400034,816.7771786000001,-8337.175262525001,6018.110775025003,0.9312179021131827,-0.24048077328589268,66,26,12,103,47,2021
0.02,200,0.4,2.0,10.0,-0.08127310349148037,113,0.7610619469026548,-864.3054871500135,-0.008643054871500135,690.07074535,-10983.9060071,13181.151334225,0.9938765602687946,-0.2323693916839873,86,17,10,112,31,2021
0.02,200,0.6,1.0,10.0,-0.08299589874525809,109,0.6972477064220184,13644.04321489997,0.1364404321489997,690.07074535,-10983.9060071,13181.151334225,1.0964341084440135,-0.2257086026857914,71,27,11,108,32,2021
0.02,150,0.5,1.0,10.0,-0.08532755954200259,107,0.6542056074766355,-11819.059609700029,-0.11819059609700029,603.7615282750003,-8337.175262525001,6018.110775025003,0.9054090327292116,-0.2400657790645776,68,27,12,106,45,2021
0.02,200,0.5,1.0,10.0,-0.08556951547892967,112,0.7053571428571429,3528.007663149965,0.03528007663149965,683.0587179250001,-10983.9060071,13181.151334225,1.024884665024334,-0.2303237495437076,76,27,9,111,32,2021
0.0175,200,0.4,1.0,10.0,-0.08563982402694825,131,0.6946564885496184,-880.1186871499995,-0.008801186871499994,628.2740066500003,-10295.15903375,8260.5709144,0.9945967687007251,-0.23225594642710645,91,34,6,130,37,2021
0.02,150,0.4,1.0,10.0,-0.08592756234689994,109,0.6880733944954128,-13741.342987075024,-0.13741342987075025,589.0963392250001,-8094.533205200004,6018.110775025003,0.8808800357423368,-0.24956697777280445,75,25,9,108,43,2021
0.0175,150,0.5,1.0,10.0,-0.08993901631631207,126,0.6666666666666666,-13792.431178750025,-0.13792431178750025,628.1403863124998,-7834.879586299999,6326.244887199999,0.9095658223242058,-0.2577989107651797,82,34,10,125,53,2021
