slippage_per_leg,trades,win_rate,net_pnl,return_on_capital,median_trade,worst_trade,best_trade,profit_factor,max_drawdown,take_profit_eod_marks,stop_loss_eod_marks,forced_expiry_or_max_hold,negative_conservative_bound_trades,deep_conservative_bound_trades
0.0,378,1.0,2777875.506162975,27.77875506162975,5538.9355694875,239.997377,34494.7541632,,0.0,378,0,0,10,5
0.25,375,1.0,2719614.9064314,27.196149064314003,5505.92181465,189.997377,34344.7541632,,0.0,375,0,0,10,5
0.5,368,1.0,2653168.89349859,26.5316889349859,5445.24852738,139.997377,34194.7541632,,0.0,368,0,0,10,5
1.0,363,1.0,2586556.700845115,25.865567008451148,5527.37849515,76.184498225,33894.7541632,,0.0,363,0,0,12,4
