window,model,mae,rmse,direction_accuracy,regime_accuracy,correlation,samples
3,ridge,0.012027631472757318,0.015166676278636597,0.5192307692307693,0.46153846153846156,0.11609394601948295,52
3,rf,0.009953381126409405,0.01243042195468228,0.5961538461538461,0.28846153846153844,0.17180215645922658,52
3,extra_trees,0.009903863976829281,0.012400989176882002,0.5961538461538461,0.28846153846153844,0.15908930326833284,52
3,hgbr,0.010820036577782632,0.013190827977063845,0.5192307692307693,0.3269230769230769,0.1544628780560332,52
3,xgboost,0.01052208778659339,0.012983579272674071,0.5961538461538461,0.40384615384615385,0.18079188280339206,52
3,lstm,0.014175121178106737,0.01849170233144661,0.5769230769230769,0.5,0.12287460287396751,52
3,ensemble,0.009327708628054106,0.012156279519543236,0.6346153846153846,0.4423076923076923,0.2742035778239404,52
4,ridge,0.021995330349068417,0.028211125864493636,0.46153846153846156,0.38461538461538464,-0.11048662956123123,52
4,rf,0.012733100226729866,0.01583625212513895,0.46153846153846156,0.3269230769230769,-0.0505526058277613,52
4,extra_trees,0.012399259547068745,0.01569569818361292,0.5,0.34615384615384615,-0.007922580036627802,52
4,hgbr,0.01367356150961288,0.017042988987913933,0.5769230769230769,0.4423076923076923,0.04940065737901754,52
4,xgboost,0.01316442585979835,0.016262160997009917,0.46153846153846156,0.36538461538461536,0.05821424952460062,52
4,lstm,0.01733405201929681,0.021988473141913045,0.5384615384615384,0.46153846153846156,0.0035021662904998058,52
4,ensemble,0.013762985992242219,0.01697145904471919,0.46153846153846156,0.3076923076923077,-0.04019292325608789,52
5,ridge,0.011389125200211304,0.01516864515616012,0.5370370370370371,0.35185185185185186,0.0932513864992341,54
5,rf,0.010092727067953229,0.014313627864837225,0.48148148148148145,0.25925925925925924,-0.1574024442638341,54
5,extra_trees,0.009951479528649797,0.014207610455299087,0.5,0.24074074074074073,-0.10846220606975254,54
5,hgbr,0.01172163031067662,0.016069463107404338,0.4444444444444444,0.37037037037037035,-0.16931245926522714,54
5,xgboost,0.011732846098159324,0.016557132300254126,0.48148148148148145,0.24074074074074073,-0.2928318448484802,54
5,lstm,0.010628427712507573,0.013937906687150552,0.5925925925925926,0.2962962962962963,0.18872726997320075,54
5,ensemble,0.010468787530029076,0.014408015276280144,0.5185185185185185,0.3333333333333333,-0.07479785607924473,54
6,ridge,0.01430913581121201,0.0155875412813911,0.5833333333333334,0.4166666666666667,0.42447605040394404,12
6,rf,0.016649106705940442,0.020231384954850745,0.4166666666666667,0.16666666666666666,-0.1858699553302023,12
6,extra_trees,0.016796824442418343,0.020779710394882227,0.4166666666666667,0.16666666666666666,-0.4026291534112709,12
6,hgbr,0.01993196814062416,0.02270424773048267,0.3333333333333333,0.16666666666666666,0.16646678457854586,12
6,xgboost,0.01852991357771558,0.022163114702102815,0.3333333333333333,0.16666666666666666,-0.27959355039436967,12
6,lstm,0.01567199897579727,0.018078820730827144,0.5833333333333334,0.25,0.049500052952379615,12
6,ensemble,0.015903397373098694,0.018474730303196935,0.5,0.08333333333333333,0.31724682280382227,12
