mae,rmse,direction_accuracy,regime_accuracy,correlation,samples,model
0.05069235617893543,0.05199476780510789,0.3,0.3,-0.1241977843053712,10,deep_transformer
0.009613197971802967,0.010690656479818025,0.3,0.6,0.0,10,naive
