model,mae,rmse,direction_accuracy,regime_accuracy,correlation,samples
ridge,0.01474905743089915,0.019538835329830466,0.4602272727272727,0.375,-0.09926145938811554,176
rf,0.011844830185074172,0.015268770853799619,0.5056818181818182,0.32386363636363635,-0.03366622657886995,176
extra_trees,0.011486589353073152,0.015046664941709118,0.5227272727272727,0.3125,-0.05409725797185259,176
hgbr,0.014750830344845105,0.018813564981129433,0.5227272727272727,0.38636363636363635,-0.008586177398941157,176
xgboost,0.013448598647200464,0.0182082508089434,0.48863636363636365,0.32954545454545453,-0.039174599651862076,176
lstm,0.013481265287823972,0.017486318360079436,0.48295454545454547,0.3522727272727273,-0.09381738496158824,176
ensemble,0.012278247292776727,0.016101746349881128,0.5113636363636364,0.375,-0.0735320228761545,176
