signal_date,expiry,spot,short_put,long_put,short_call,long_call,width,gross_credit,entry_costs,net_credit,max_profit,max_loss,reward_risk,model_profit_probability,model_loss_probability,model_touch_probability,model_expected_pnl,selection_score
2026-09-15,2026-09-22,23118.599609375,22400.0,22300.0,23200.0,23300.0,100.0,52.19999999999999,121.164325991,50.335933446292294,3271.835674008999,3228.164325991001,1.0135282295471721,0.67,0.33,0.59575,1122.1673694695169,0.2745115871522777
2026-09-15,2026-09-22,23118.599609375,22400.0,22250.0,23200.0,23350.0,150.0,74.05,120.5332322225,72.1956425811923,4692.7167677775,5057.2832322225,0.9279125871135387,0.67,0.33,0.59575,1484.9890277017407,0.2513228044382342
2026-09-15,2026-09-22,23118.599609375,22400.0,22300.0,23250.0,23350.0,100.0,46.09999999999998,117.323632628,44.29502103649229,2879.176367371999,3620.823632628001,0.7951716679672372,0.6725,0.3275,0.5545,744.5474848994621,0.2382324377583993
2026-09-15,2026-09-22,23118.599609375,22400.0,22200.0,23200.0,23400.0,200.0,94.0,119.957016173,92.1545074434923,5990.042983827,7009.957016173,0.8545049520285347,0.6725,0.3275,0.59575,1734.405369065177,0.23230411406169238
2026-09-15,2026-09-22,23118.599609375,22400.0,22300.0,23300.0,23400.0,100.0,42.95,114.03399586849999,41.19563083279231,2677.7160041315,3822.2839958685,0.7005539114900512,0.6725,0.3275,0.51325,558.126543725902,0.22931887954095867
2026-09-15,2026-09-22,23118.599609375,22400.0,22250.0,23250.0,23400.0,150.0,66.74999999999997,116.7271984715,64.95419694659228,4222.022801528498,5527.977198471502,0.7637554660492986,0.6725,0.3275,0.5545,1036.854194553151,0.2288201829340373
2026-09-15,2026-09-22,23118.599609375,22500.0,22400.0,23200.0,23300.0,100.0,54.05000000000001,122.0001253385,52.173074994792316,3391.2498746615006,3108.7501253384994,1.090872452893666,0.6675,0.3325,0.6906874999999999,1226.9359080928882,0.22522817412843618
2026-09-15,2026-09-22,23118.599609375,22400.0,22150.0,23200.0,23450.0,250.0,109.75,119.5021087655,107.91150601899231,7014.2478912345005,9235.752108765499,0.7594668857100868,0.6725,0.3275,0.59575,1719.8712388683275,0.20646724354873347
2026-09-15,2026-09-22,23118.599609375,22500.0,22350.0,23200.0,23350.0,150.0,76.25000000000001,121.3589225165,74.38293965359232,4834.8910774835,4915.1089225165,0.9836793352298838,0.6675,0.3325,0.6906874999999999,1607.0225251953548,0.20309642984751092
2026-09-15,2026-09-22,23118.599609375,22400.0,22250.0,23300.0,23450.0,150.0,59.000000000000014,113.570423558,57.25276271449232,3721.429576442001,6028.570423557999,0.6172988478163371,0.675,0.325,0.51325,559.2102662196588,0.20281739456785644
2026-09-15,2026-09-22,23118.599609375,22400.0,22200.0,23250.0,23450.0,200.0,82.1,116.283844268,80.3110177804923,5220.216155732,7779.783844268,0.6709975829955942,0.6725,0.3275,0.5545,995.0475487566569,0.20103003711850126
2026-09-15,2026-09-22,23118.599609375,22500.0,22400.0,23250.0,23350.0,100.0,47.95,118.15943197550001,46.13216258499231,2998.5905680245,3501.4094319755,0.8563952963172008,0.67,0.33,0.659125,849.3160235228282,0.19558891024352432
2026-09-15,2026-09-22,23118.599609375,22500.0,22300.0,23200.0,23400.0,200.0,97.0,120.75960005900001,95.14215999909231,6184.240399941001,6815.759600058999,0.9073442672314128,0.6725,0.3275,0.6906874999999999,1900.336972966788,0.18873909116001608
2026-09-15,2026-09-22,23118.599609375,22500.0,22400.0,23300.0,23400.0,100.0,44.80000000000001,114.869795216,43.03277238129232,2797.130204784001,3702.869795215999,0.7553952365264941,0.67,0.33,0.6275625,662.8950823492719,0.1884961339805702
2026-09-15,2026-09-22,23118.599609375,22400.0,22100.0,23200.0,23500.0,300.0,123.5,119.104967378,121.66761588649231,7908.395032622,11591.604967378,0.6822519448237258,0.675,0.325,0.59575,1589.8782166032368,0.18616523536911903
