name,train_samples,test_samples,model_low_mae,model_close_mae,model_high_mae,naive_low_mae,naive_close_mae,naive_high_mae,close_mae_lift_vs_naive,strategy_trades,strategy_wins,strategy_win_rate,strategy_total_pnl,strategy_mean_pnl,strategy_profit_factor,strategy_max_drawdown,strategy_avg_reward_risk,strategy_avg_model_pop,strategy_avg_touch,strategy_avg_max_loss
wfo_1,2492,122,0.16724501577639578,0.07353100494241906,0.057421485554994135,0.04860136856594301,0.5225495297272875,0.5114823765298143,0.8592841429198224,0,0,0,0,0,0,0,0,0,0,0
wfo_2,3056,28,0.033857371125608375,0.04994155694447295,0.04286284564386039,0.028977371947344864,0.42957450526642377,0.41409744172767265,0.8837418041987873,0,0,0,0,0,0,0,0,0,0,0
wfo_3,3420,27,0.019816043512269895,0.018819207276845145,0.015001410522779828,0.017447066684813366,0.11694298933992266,0.10774049109043478,0.8390736598827431,0,0,0,0,0,0,0,0,0,0,0
wfo_4,3787,27,0.012433851040384698,0.011040428365097185,0.0113230698621183,0.021877966591538067,0.03316402172547998,0.03514796229705556,0.6670962147930688,0,0,0,0,0,0,0,0,0,0,0
wfo_5,4141,29,0.024869681857499906,0.02915159330483101,0.025174812540615227,0.013012962400036231,0.030547180567610993,0.024052196793478448,0.04568628714165901,0,0,0,0,0,0,0,0,0,0,0
wfo_6,4496,21,0.02884620425880807,0.036348109625749664,0.03204325686402257,0.017515949251929,0.028122267928939872,0.019307321525403237,-0.2925027852517115,0,0,0,0,0,0,0,0,0,0,0
