qty,entry_price,exit_price,buy_value,sell_value,gross_pnl,net_pnl,fees,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,predicted_mfe,p_hit_3,p_hit_4,p_hit_5,target_pct,selection_score,regime,regime_score,validation_precision,mfe_validation_mae,mfe_validation_rank_ic
40,2441.22,2335.4317,97648.79999999999,93417.26800000001,-4231.531999999977,-4312.985146696257,81.45314669628,-0.04312985146696257,close_proxy,2026-08-03,2026-08-04,VINDHYATEL,0.8809477090835571,0.037684716284275055,0.8395861983299255,0.8564180731773376,0.878210723400116,0.03,0.38657050627434725,risk_on,0.7874318537098404,0.6724137931034483,0.014324960359225916,0.26335866190343504
89,1070.5349999999999,1038.6804000000002,95277.61499999999,92442.55560000002,-2835.059399999969,-2916.058175665695,80.998775665726,-0.03047496235655651,close_proxy,2026-08-10,2026-08-11,SBCL,0.8660922050476074,0.032814107835292816,0.8256679177284241,0.8505972623825073,0.8773871064186096,0.03,0.32644417309713714,neutral,0.5062857806658919,0.6724137931034483,0.014324960359225916,0.26335866190343504
3978,23.31165,23.118435,92733.7437,91965.13443,-768.6092700000008,-849.2863561253032,80.67708612530231,-0.009154657734924698,close_proxy,2026-08-20,2026-08-21,BAJAJHIND,0.8640695810317993,0.03350672870874405,0.8193849325180054,0.8443567156791687,0.8691788911819458,0.03,0.34969121546468823,neutral,0.6313171717982337,0.6724137931034483,0.014324960359225916,0.26335866190343504
406,226.113,232.77994180500002,91801.878,94508.65637283001,2706.778372830013,2625.4261400081145,81.35223282189826,0.028561558235671844,take_profit,2026-08-25,2026-08-26,GENESYS,0.877557098865509,0.03697492927312851,0.8311034440994263,0.8496923446655273,0.8730815052986145,0.03,0.3148821150997061,neutral,0.44086575375933373,0.6724137931034483,0.014324960359225916,0.26335866190343504
363,259.82984999999996,267.49093312725,94318.23554999998,97099.20872519175,2780.9731751917716,2698.6848043432556,82.28837084851618,0.028543285889710814,take_profit,2026-08-26,2026-08-27,RAMBHAJO,0.8810423612594604,0.03462572023272514,0.8560191988945007,0.8774489164352417,0.8994253873825073,0.03,0.36148199017920923,neutral,0.6389830724437451,0.6724137931034483,0.014324960359225916,0.26335866190343504
415,234.117,222.18885000000003,97158.555,92208.37275000001,-4950.1822499999835,-5031.247594393936,81.0653443939525,-0.051737438158256016,close_proxy,2026-09-03,2026-09-04,HIKAL,0.8220864534378052,0.03834608942270279,0.8856894969940186,0.9008428454399109,0.917250394821167,0.03,0.3768551891700966,risk_on,0.6743106500588569,0.5581395348837209,0.01356341067386442,0.2731461253479292
393,234.01694999999998,240.91693977075,91968.66135,94680.35732990474,2711.695979904747,2630.281700162632,81.41427974211501,0.02852350486891203,take_profit,2026-09-04,2026-09-07,NIACL,0.8288767337799072,0.035741403698921204,0.8749879002571106,0.8912811279296875,0.9085326194763184,0.03,0.3482984137117212,neutral,0.5465090081986511,0.5581395348837209,0.01356341067386442,0.2731461253479292
5587,16.96848,16.951520000000002,94802.89775999999,94708.14224000002,-94.75551999997697,-176.38114797117697,81.6256279712,-0.0018596814942393877,close_proxy,2026-09-08,2026-09-09,ATALREAL,0.8229002952575684,0.039937857538461685,0.8858281373977661,0.9068304896354675,0.9198182225227356,0.03,0.3339063137478826,neutral,0.45937217638254046,0.5581395348837209,0.01356341067386442,0.2731461253479292
