qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,model_threshold,validation_precision,validation_recall,validation_specificity
487,205.252575,211.30444717387502,205.15,212.7,205.61,99958.004025,102905.26577367714,2947.261748677134,2862.8752651296622,84.38648354747211,40.0,6.998782808054361,25.726316443419286,0.2028632697986771,2.99874012075,8.459780905449785,0.02862875265129662,take_profit,2026-04-29,2026-04-30,SAPPHIRE,0.8711551427841187,6.4362493300119885,0.05197873190352221,11.83449024973884,858.2575394039999,0.87,0.7242798353909465,0.004932044276306571,0.9993747900414318
42,2441.22,2335.4317,2440.0,2467.7,2336.6,102531.23999999999,98088.1314,-4443.108599999992,-4526.274404031086,83.16580403109398,40.0,6.9213683132999995,24.52203285,0.2006193714,3.0759372,8.445846296394,-0.04400299323117877,close,2026-08-03,2026-08-04,VINDHYATEL,0.855866014957428,4.626918795606737,0.047706972004076496,10.623895020474201,144.2708711,0.8500000000000001,0.6585365853658537,0.0009449149576538111,0.9998765562727048
53,1820.9099999999999,1874.59953135,1820.0,1920.0,1901.8,96508.23,99353.77516155,2845.545161550006,2762.4420666243304,83.10309492567575,40.0,6.757239178073475,24.8384437903875,0.19586200516155,2.8952469,8.416303052053225,0.028091697724291965,take_profit,2026-08-17,2026-08-18,KERNEX,0.8537957072257996,5.366035136685111,0.106170332493333,3.609814005584565,272.56329381,0.8500000000000001,0.6585365853658537,0.0009449149576538111,0.9998765562727048
388,259.82984999999996,267.49093312725,259.7,279.33,263.57,100813.98179999998,103786.482053373,2972.500253373015,2887.7953280583474,84.70492531466742,40.0,7.058716002941367,25.946620513343248,0.20460046385337294,3.0244194539999993,8.470568880529445,0.02856402241238695,take_profit,2026-08-26,2026-08-27,RAMBHAJO,0.8598375916481018,5.474703418628365,0.05982132381287609,8.319405872981289,312.61988988,0.8500000000000001,0.6585365853658537,0.0009449149576538111,0.9998765562727048
105,985.4925,1014.5497463625001,985.0,1075.1,1013.3,103476.7125,106527.7233680625,3051.0108680625126,2965.31535082544,85.69551723707251,40.0,7.245153037448156,26.631930842015628,0.21000443586806247,3.104301375,8.504127546740667,0.028516256485570952,take_profit,2026-09-02,2026-09-03,ANTELOPUS,0.8937111496925354,6.8170191882454585,0.043207095170507866,16.880037144901394,1183.814130525,0.88,0.5769230769230769,0.0005618608832453085,0.9999050086355786
2151,49.694835,51.160087209975,49.67,57.78,57.51,106893.59008499999,110045.34758865624,3151.7575036562484,3064.790835966166,86.96666769008226,40.0,7.484393349741139,27.51133689716406,0.2169389376736562,3.20680770255,8.547190802953406,0.02865571877345391,take_profit,2026-09-03,2026-09-04,JINDWORLD,0.8843188285827637,6.02995354830925,0.0475152054591307,6.96739907891279,533.597312925,0.88,0.5769230769230769,0.0005618608832453085,0.9999050086355786
