date,starting_equity,ending_equity,daily_pnl,daily_return_pct,n_trades,used_forced_fallback,peak_equity,drawdown_pct
2026-04-20,100000.0,97530.58684351377,-2469.4131564862328,-0.02469413156486233,1,True,97530.58684351377,0.0
2026-04-21,97530.58684351377,96540.37235103722,-990.2144924765453,-0.010152861010313874,1,True,97530.58684351377,-0.010152861010313874
2026-04-22,96540.37235103722,97743.50073301402,1203.1283819767996,0.01246243776232836,1,True,97743.50073301402,0.0
2026-04-23,97743.50073301402,96959.77351573043,-783.7272172835947,-0.008018202861634127,1,True,97743.50073301402,-0.008018202861634127
2026-04-24,96959.77351573043,91769.1269284686,-5190.646587261828,-0.0535340213683535,1,False,97743.50073301402,-0.06112297758665719
2026-04-27,91769.1269284686,90595.13358531529,-1173.9933431533136,-0.01279290086379925,1,True,97743.50073301402,-0.0731339382576901
2026-04-28,90595.13358531529,87236.90654445067,-3358.2270408646145,-0.03706851469789052,1,True,97743.50073301402,-0.10749148649036089
2026-04-29,87236.90654445067,82051.54437135516,-5185.362173095506,-0.059440005136511265,1,False,97743.50073301402,-0.16054219711775386
2026-04-30,82051.54437135516,82076.1455521185,24.601180763333105,0.0002998259320019514,1,False,97743.50073301402,-0.16029050589962845
2026-05-04,82076.1455521185,83666.06030237726,1589.9147502587584,0.01937121607701675,1,True,97743.50073301402,-0.14402431184748776
2026-05-05,83666.06030237726,77867.39502233235,-5798.665280044908,-0.06930725863137299,1,True,97743.50073301402,-0.2033496402484415
2026-05-06,77867.39502233235,73446.59420798278,-4420.800814349568,-0.05677345200878603,1,True,97743.50073301402,-0.24857823121557865
2026-05-07,73446.59420798278,70726.22749680905,-2720.3667111737304,-0.037038704660291244,1,True,97743.50073301402,-0.2764099201848985
2026-05-08,70726.22749680905,67441.36137485695,-3284.866121952102,-0.046444808923256975,1,True,97743.50073301402,-0.3100169231806752
2026-05-11,67441.36137485695,64712.84883265433,-2728.5125422026176,-0.04045755433430265,1,True,97743.50073301402,-0.3379319510008424
2026-05-12,64712.84883265433,63394.501253369985,-1318.3475792843456,-0.020372269233480345,1,True,97743.50073301402,-0.35141977954593817
2026-05-13,63394.501253369985,64426.3414917328,1031.8402383628127,0.01627649430096212,1,True,97743.50073301402,-0.3408631672840009
2026-05-14,64426.3414917328,67386.14867269305,2959.807180960248,0.045940947637699514,1,True,97743.50073301402,-0.31058179656611606
