date,starting_equity,ending_equity,daily_pnl,daily_return_pct,n_trades,used_forced_fallback,peak_equity,drawdown_pct
2026-04-20,100000.0,97816.53208062075,-2183.4679193792545,-0.02183467919379256,5,True,97816.53208062075,0.0
2026-04-21,97816.53208062075,96738.06206650236,-1078.4700141183857,-0.011025437021520146,5,True,97816.53208062075,-0.011025437021520146
2026-04-22,96738.06206650236,95640.99974413787,-1097.0623223644943,-0.011340544754869342,5,True,97816.53208062075,-0.022240947314404846
2026-04-23,95640.99974413787,93723.46489112845,-1917.5348530094197,-0.020049297457568116,5,True,97816.53208062075,-0.041844329403528446
2026-04-24,93723.46489112845,88704.69621822792,-5018.768672900522,-0.053548688994057736,1,False,97816.53208062075,-0.09315230941619168
2026-04-27,88704.69621822792,87511.67755532645,-1193.0186629014788,-0.013449329221154827,5,True,97816.53208062075,-0.10534880256029733
2026-04-28,87511.67755532645,89563.37731942775,2051.6997641013004,0.0234448684040387,5,True,97816.53208062075,-0.0843738229688078
2026-04-29,89563.37731942775,84217.44757842299,-5345.929741004758,-0.05968879134535654,1,False,97816.53208062075,-0.139026442799969
2026-04-30,84217.44757842299,84244.02824036025,26.58066193725972,0.0003156194197468931,1,False,97816.53208062075,-0.13875470282542823
2026-05-04,84244.02824036025,87595.8060234676,3351.777783107347,0.039786532685073484,5,True,97816.53208062075,-0.10448873865952635
2026-05-05,87595.8060234676,86296.73648872577,-1299.0695347418223,-0.014830270919520827,5,True,97816.53208062075,-0.11776941327668733
2026-05-06,86296.73648872577,86356.46862864077,59.73213991499506,0.0006921714811636281,5,True,97816.53208062075,-0.11715875842474721
2026-05-07,86356.46862864077,85669.45279531096,-687.0158333298023,-0.007955580447414734,5,True,97816.53208062075,-0.12418227294439466
2026-05-08,85669.45279531096,85757.34663610179,87.89384079082811,0.0010259647741748257,5,True,97816.53208062075,-0.12328371480783773
2026-05-11,85757.34663610179,83041.81196395487,-2715.534672146925,-0.03166532989494042,5,True,97816.53208062075,-0.15104522520271424
2026-05-12,83041.81196395487,80240.33803966727,-2801.473924287595,-0.033735703232289804,5,True,97816.53208062075,-0.1796853115429109
2026-05-13,80240.33803966727,80971.58435081765,731.2463111503748,0.009113200779250041,5,True,97816.53208062075,-0.17220961908483357
2026-05-14,80971.58435081765,79798.3546888908,-1173.2296619268454,-0.014489399847281148,5,True,97816.53208062075,-0.18420380490364652
2026-05-15,79798.3546888908,78268.46515833521,-1529.8895305555925,-0.01917194328780536,5,True,97816.53208062075,-0.19984420329044117
2026-05-18,78268.46515833521,76258.4590508326,-2010.006107502617,-0.025680918917170836,5,True,97816.53208062075,-0.22039293942684357
2026-05-19,76258.4590508326,75951.33086122826,-307.1281896043365,-0.0040274638830507525,5,True,97816.53208062075,-0.22353277870627342
2026-05-20,75951.33086122826,77195.39152726212,1244.0606660338672,0.01637970858347315,5,True,97816.53208062075,-0.21081447189686298
2026-05-21,77195.39152726212,77079.54394712971,-115.84758013240935,-0.001500705907962141,5,True,97816.53208062075,-0.21199880728136555
2026-05-22,77079.54394712971,76108.98667586759,-970.5572712621215,-0.01259163224847104,5,True,97816.53208062075,-0.22192102851143525
2026-05-25,76108.98667586759,78798.00228401777,2689.0156081501773,0.03533111825022894,5,True,97816.53208062075,-0.19443062836175617
2026-05-26,78798.00228401777,78067.40251789847,-730.599766119296,-0.009271805692306012,5,True,97816.53208062075,-0.201899711047259
2026-05-27,78067.40251789847,80469.97104074367,2402.568522845191,0.030775566310078828,5,True,97816.53208062075,-0.17733772268250092
2026-05-29,80469.97104074367,77160.37501385897,-3309.5960268846975,-0.04112833624867318,5,True,97816.53208062075,-0.2111724534431143
2026-06-01,77160.37501385897,73696.1049981331,-3464.270015725866,-0.044897008537136296,5,True,97816.53208062075,-0.24658845053520706
2026-06-02,73696.1049981331,73998.51272120464,302.40772307153384,0.004103442415025693,5,True,97816.53208062075,-0.24349686962716288
2026-06-03,73998.51272120464,74129.04695723468,130.53423603004194,0.0017640116163124553,5,True,97816.53208062075,-0.24216238931740863
