date,starting_equity,ending_equity,daily_pnl,daily_return_pct,n_trades,used_expected_return_layer,peak_equity,drawdown_pct
2026-04-20,100000.0,99915.52696614967,-84.47303385032865,-0.0008447303385032967,1,True,99915.52696614967,0.0
2026-04-21,99915.52696614967,98902.99260402871,-1012.5343621209613,-0.010133904037397445,1,True,99915.52696614967,-0.010133904037397445
2026-04-22,98902.99260402871,98722.18956007254,-180.80304395616986,-0.0018280846635251313,1,True,99915.52696614967,-0.011943463066370286
2026-04-23,98722.18956007254,101539.18750053876,2816.9979404662154,0.028534597470126766,1,True,101539.18750053876,0.0
2026-04-24,101539.18750053876,104446.20467177154,2907.0171712327865,0.028629509874868342,1,False,104446.20467177154,0.0
2026-04-27,104446.20467177154,105669.21919629468,1223.0145245231397,0.011709516189377434,1,True,105669.21919629468,0.0
2026-04-28,105669.21919629468,106898.8230133354,1229.6038170407119,0.011636348090701354,1,True,106898.8230133354,0.0
2026-04-29,106898.8230133354,109947.55962560404,3048.736612268651,0.02851983329964569,1,False,109947.55962560404,0.0
2026-04-30,109947.55962560404,113097.25955752266,3149.6999319186143,0.028647292787980394,1,False,113097.25955752266,0.0
2026-05-04,113097.25955752266,114347.43967306413,1250.1801155414723,0.011054026600048728,1,True,114347.43967306413,0.0
2026-05-05,114347.43967306413,115428.83925588781,1081.3995828236802,0.009457138576216106,1,True,115428.83925588781,0.0
2026-05-06,115428.83925588781,113832.6613949977,-1596.1778608901077,-0.013828241461838031,1,True,115428.83925588781,-0.013828241461838031
2026-05-07,113832.6613949977,113491.81265893803,-340.8487360596773,-0.002994296468892488,1,True,115428.83925588781,-0.016781132076150396
2026-05-08,113491.81265893803,106911.06665043971,-6580.746008498318,-0.057984323752714784,1,True,115428.83925588781,-0.07379241323362462
2026-05-11,106911.06665043971,103180.74666811869,-3730.319982321016,-0.03489180399366709,1,True,115428.83925588781,-0.10610946680852429
2026-05-12,103180.74666811869,101641.70684567065,-1539.039822448045,-0.014915959344608876,1,True,115428.83925588781,-0.11944270166013915
2026-05-13,101641.70684567065,101609.19554368443,-32.511301986218314,-0.00031986182636212224,1,True,115428.83925588781,-0.11972435832580264
2026-05-14,101609.19554368443,104518.44038882613,2909.2448451417004,0.028631708277730983,1,True,115428.83925588781,-0.09452056294939448
2026-05-15,104518.44038882613,105926.75291304245,1408.3125242163223,0.013474297157297421,1,True,115428.83925588781,-0.08231986394475221
2026-05-18,105926.75291304245,107943.40322218617,2016.650309143719,0.019038158479182554,1,True,115428.83925588781,-0.06484892408133458
2026-05-19,107943.40322218617,110922.11723930486,2978.714017118691,0.027595146421198535,1,True,115428.83925588781,-0.039043293215417774
2026-05-20,110922.11723930486,111380.4787646616,458.36152535674046,0.004132282512854246,1,True,115428.83925588781,-0.035072348620361904
2026-05-21,111380.4787646616,114556.82310960577,3176.3443449441693,0.02851796275409746,1,True,115428.83925588781,-0.007554577797918571
2026-05-22,114556.82310960577,110539.89157744148,-4016.9315321642935,-0.035064969707836346,1,True,115428.83925588781,-0.04235464646411535
2026-05-25,110539.89157744148,107760.22755519216,-2779.664022249315,-0.025146252475758524,1,True,115428.83925588781,-0.06643583830636579
2026-05-26,107760.22755519216,107025.93453811535,-734.2930170768086,-0.006814137588014302,1,True,115428.83925588781,-0.07279727295138538
2026-05-27,107025.93453811535,110081.7025374344,3055.7679993190395,0.028551659114275596,1,True,115428.83925588781,-0.04632409675886673
2026-05-29,110081.7025374344,113218.51207855286,3136.809541118462,0.028495285490808486,1,True,115428.83925588781,-0.01914882963030584
2026-06-01,113218.51207855286,112066.576095834,-1151.93598271886,-0.010174449050519452,1,True,115428.83925588781,-0.029128449889374686
2026-06-02,112066.576095834,115250.3479623103,3183.771866476309,0.02840964699192461,1,True,115428.83925588781,-0.0015463318762291012
2026-06-03,115250.3479623103,115046.3673123103,-203.9806499999977,-0.0017698918363934224,1,True,115428.83925588781,-0.003313486872458471
2026-06-04,115046.3673123103,114807.6328377733,-238.73447453700646,-0.002075115278424411,1,True,115428.83925588781,-0.00538172628364908
2026-06-05,114807.6328377733,114606.1561495636,-201.47668820970284,-0.001754906735986772,1,True,115428.83925588781,-0.007127188591929401
2026-06-08,114606.1561495636,114403.54036373703,-202.61578582656512,-0.0017679310835810869,1,True,115428.83925588781,-0.00888251929726025
2026-06-09,114403.54036373703,113074.00293259374,-1329.537431143297,-0.011621471039411357,1,True,115428.83925588781,-0.020400762395901495
2026-06-10,113074.00293259374,112872.99309914559,-201.0098334481445,-0.0017776838905045889,1,True,115428.83925588781,-0.0221421801797409
2026-06-11,112872.99309914559,116108.00030042588,3235.007201280285,0.028660595528274158,1,True,116108.00030042588,0.0
2026-06-12,116108.00030042588,114458.23487886284,-1649.7654215630319,-0.014208886702848367,1,True,116108.00030042588,-0.014208886702848367
2026-06-15,114458.23487886284,114255.61909303628,-202.61578582656512,-0.0017702158874021157,1,True,116108.00030042588,-0.01595394979326681
2026-06-16,114255.61909303628,114694.95732779954,439.3382347632578,0.003845222127810688,1,True,116108.00030042588,-0.012170074146227061
2026-06-17,114694.95732779954,114467.80767313526,-227.14965466427384,-0.001980467667947017,1,True,116108.00030042588,-0.01412643937581104
2026-06-18,114467.80767313526,107675.84002995238,-6791.967643182885,-0.05933517712313896,1,True,116108.00030042588,-0.07262342171646696
2026-06-19,107675.84002995238,107483.83647172045,-192.00355823192513,-0.0017831628541603584,1,True,116108.00030042588,-0.0742770851826805
2026-06-22,107483.83647172045,110564.2268505562,3080.390378835742,0.0286591033587289,1,True,116108.00030042588,-0.04774669648538721
2026-06-23,110564.2268505562,110367.0627505562,-197.1640999999945,-0.0017832540019159238,1,True,116108.00030042588,-0.049444805999717345
2026-06-24,110367.0627505562,110168.79952127677,-198.26322927942965,-0.0017963985299448426,1,True,116108.00030042588,-0.05115238195285088
2026-06-25,110168.79952127677,109971.63692091778,-197.16260035899177,-0.00178964099832013,1,True,116108.00030042588,-0.052850478551266455
2026-06-29,109971.63692091778,108064.53164228234,-1907.1052786354412,-0.017341792229635278,1,True,116108.00030042588,-0.06927574876262887
2026-06-30,108064.53164228234,111128.44370050485,3063.912058222515,0.028352614976065782,1,True,116108.00030042588,-0.042887282418408446
2026-07-01,111128.44370050485,110931.02692514275,-197.41677536210045,-0.0017764738602310537,1,True,116108.00030042588,-0.04458756814248688
2026-07-02,110931.02692514275,107427.59735292604,-3503.4295722167153,-0.03158205300470951,1,True,116108.00030042588,-0.07476145420676927
2026-07-03,107427.59735292604,107234.52318292603,-193.07417000000714,-0.001797249261432432,1,True,116108.00030042588,-0.07642433849984498
2026-07-06,107234.52318292603,107040.37985989967,-194.14332302636467,-0.001810455413646772,1,True,116108.00030042588,-0.07809643105612041
2026-07-07,107040.37985989967,105123.53819634678,-1916.8416635528847,-0.017907650048157087,1,True,116108.00030042588,-0.09460555754691435
2026-07-08,105123.53819634678,108133.42479314742,3009.886596800643,0.02863189965294799,1,True,116108.00030042588,-0.06868239472426085
2026-07-09,108133.42479314742,111228.73633455283,3095.3115414054046,0.02862492839125874,1,True,116108.00030042588,-0.04202349496372426
2026-07-10,111228.73633455283,111129.05540732585,-99.68092722697475,-0.0008961796250849252,1,True,116108.00030042588,-0.042882013988847945
2026-07-13,111129.05540732585,110929.41887596206,-199.63653136379435,-0.0017964386598271487,1,True,116108.00030042588,-0.04460141774093429
2026-07-14,110929.41887596206,103612.10719330095,-7317.311682661108,-0.06596367092523137,1,True,116108.00030042588,-0.10762301542350383
2026-07-15,103612.10719330095,106570.86884865687,2958.76165535592,0.02855613823040959,1,True,116108.00030042588,-0.08214017489830128
2026-07-16,106570.86884865687,104589.19865177038,-1981.6701968864945,-0.018594858222472532,1,True,116108.00030042588,-0.09920764821417094
2026-07-17,104589.19865177038,103805.11750565616,-784.0811461142148,-0.0074967698024421825,1,True,116108.00030042588,-0.10596068111530976
2026-07-20,103805.11750565616,106771.8746694849,2966.7571638287336,0.028580066523859804,1,True,116108.00030042588,-0.08040897790663903
2026-07-21,106771.8746694849,106474.10320442426,-297.7714650606358,-0.002788856765720382,1,True,116108.00030042588,-0.08297358555029977
2026-07-22,106474.10320442426,105365.13264778808,-1108.9705566361808,-0.010415401710470618,1,True,116108.00030042588,-0.0925247840359058
2026-07-23,105365.13264778808,101523.66793000392,-3841.4647177841543,-0.03645859518466421,1,True,116108.00030042588,-0.1256100555748565
2026-07-24,101523.66793000392,100741.85093969271,-781.8169903112139,-0.007700834753628483,1,True,116108.00030042588,-0.132343588047109
2026-07-27,100741.85093969271,101189.96890470102,448.1179650083068,0.004448180779173638,1,True,116108.00030042588,-0.12848409547253348
2026-07-28,101189.96890470102,101390.72914887131,200.76024417029112,0.001983993535558559,1,True,116108.00030042588,-0.1267550135518145
2026-07-29,101390.72914887131,104270.1037064397,2879.374557568386,0.028398795252183362,1,True,116108.00030042588,-0.10195590797667675
2026-07-30,104270.1037064397,103286.20509262742,-983.8986138122709,-0.009436056729955178,1,True,116108.00030042588,-0.11042990297500987
