mode,portfolio_size,final_equity,net_pnl,return_pct,fees,trades,qualified_trades,expected_return_rank_trades,rank_layer_fraction,win_rate,profit_factor,max_drawdown_pct,profitable_days,losing_days,avg_trades_per_day,full_portfolio_days,rank_validation_ic,rank_validation_mae
close_exit,1,94402.91563304074,-5597.084366959269,-0.055970843669592596,7875.607141960198,103,16,87,0.8446601941747572,0.3300970873786408,0.941422400316276,-0.39987667659293435,34,69,1.0,1.0,0.27418148139763393,0.015666291117668152
close_exit,3,61705.02131606669,-38294.978683933296,-0.3829497868393331,17330.921598934143,309,21,288,0.9320388349514563,0.3074433656957929,0.580733558989027,-0.39483016144706695,31,72,3.0,1.0,0.27418148139763393,0.015666291117668152
close_exit,5,53494.87981553541,-46505.120184464504,-0.4650512018446459,26646.6414444653,515,22,493,0.9572815533980582,0.283495145631068,0.5297133884448056,-0.4610388051365474,27,76,5.0,1.0,0.27418148139763393,0.015666291117668152
tp3_close,1,102977.31950084078,2977.319500840789,0.029773195008407694,8710.811767232768,103,16,87,0.8446601941747572,0.4077669902912621,1.0321074695161578,-0.289825891397663,42,61,1.0,1.0,0.27418148139763393,0.015666291117668152
tp3_close,3,71418.1280604829,-28581.871939517012,-0.2858187193951711,17636.69760148008,309,21,288,0.9320388349514563,0.37216828478964403,0.6740616279549083,-0.31652000969040583,36,67,3.0,1.0,0.27418148139763393,0.015666291117668152
tp3_close,5,53888.13574338389,-46111.86425661614,-0.4611186425661611,26672.449077873804,515,22,493,0.9572815533980582,0.3320388349514563,0.49252260909682194,-0.45872489974382746,27,76,5.0,1.0,0.27418148139763393,0.015666291117668152
