qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,expected_intraday_return,expected_return_utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity,return_validation_mae,return_validation_rank_ic
100,999.4994999999999,999.4900050000001,999.0,1000.01,999.99,99949.94999999998,99949.00050000001,-0.9494999999733409,-84.47303385032835,83.52353385035501,40.0,6.896513792249999,24.987250125000003,0.19989895049999998,2.9984984999999997,8.441372482604999,-0.0008447303385032835,close_proxy,2026-04-17,2026-04-20,LIQUIDBEES,0.1850433349609375,1.3877391552638112,0.006310179829597473,4.532782890758155,0.00043214285714283766,3.5436566905905087,1795.7001,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
173,575.1874499999999,569.8149500000001,574.9,587.0,570.1,99507.42884999998,98577.98635,-929.4424999999756,-1012.5343621209676,83.091862120992,40.0,6.833946824399999,24.6444965875,0.19808541519999998,2.9852228654999995,8.430110428392,-0.010133904037397546,close_proxy,2026-04-20,2026-04-21,TRITURBINE,0.8460826873779297,7.5104077135065435,0.021690398454666138,3.1206318837941383,0.04689591907571775,15.263085695686705,3588.27581984,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
98,1000.4899949999999,999.4900050000001,999.99,1000.01,999.99,98048.01950999998,97950.02049000001,-97.99901999997383,-180.80304395617384,82.80402395620001,40.0,6.761932379999999,24.487505122500004,0.19599803999999996,2.9414405852999996,8.4171478284,-0.001828084663525227,close_proxy,2026-04-21,2026-04-22,LIQUIDBEES,0.13943834602832794,0.888096865731973,0.008437119424343109,4.236849614293878,0.002623597664548059,1.0185980387936808,565.322746716,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
107,919.4594999999999,946.5697633575,919.0,957.0,913.3,98382.16649999999,101282.9646792525,2900.7981792525097,2816.99794046621,83.80023878629974,40.0,6.8884470256842105,25.320741169813125,0.1996651311792525,2.951464995,8.439920464623157,0.028534597470126655,take_profit,2026-04-22,2026-04-23,ARE&M,0.8499119281768799,7.33167242484379,0.0222243070602417,3.637328009511799,0.03923127056541988,15.042190385623645,3156.09204592,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
1254,80.92043999999999,83.30637917339999,80.88,83.48,76.69,101474.23175999998,104466.19948344359,2991.9677234436094,2907.0171712327847,84.95055221082492,40.0,7.104944877898803,26.116549870860897,0.20594043124344355,3.0442269527999994,8.478890078021784,0.028629509874868363,take_profit,2026-04-23,2026-04-24,DELTACORP,0.8666410446166992,5.874657732576214,0.023704752326011658,2.378579018211046,0.05179446778711486,11.594398984903167,492.03099455999995,normal,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
90,1155.1772999999998,1169.71485,1154.6,1179.9,1170.3,103965.95699999998,105274.3365,1308.3795000000246,1223.0145245231397,85.36497547688498,40.0,7.218790125749998,26.318584125,0.20924029349999995,3.1189787099999995,8.499382222634999,0.011709516189377451,close_proxy,2026-04-24,2026-04-27,INFY,0.36577674746513367,3.295195194934269,0.017877236008644104,3.4459988469473153,0.03403776199549628,2.8468463360825367,4858.431410439999,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
61,1724.8619999999999,1746.42635,1724.0,1763.9,1747.3,105216.582,106532.00735,1315.425350000005,1229.6038170407164,85.82153295928849,40.0,7.3053263325749995,26.6330018375,0.21174858935,3.1564974599999998,8.5149587398635,0.011636348090701448,close_proxy,2026-04-27,2026-04-28,SUNPHARMA,0.5846537947654724,5.195643822655677,0.01922427862882614,4.205844642869058,0.028629115332316962,5.338976889688739,4679.64582935,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
157,677.3385,697.3098256725,677.0,698.0,637.75,106342.1445,109477.6426305825,3135.498130582506,3048.7366122686435,86.76151831386223,40.0,7.445782656005096,27.369410657645627,0.21581978713058247,3.1902643349999997,8.540240878080917,0.028519833299645594,take_profit,2026-04-28,2026-04-29,AGI,0.8690162897109985,6.660518834846963,0.02285829186439514,3.0081469829098872,0.043969115413617685,15.83815763937299,1213.78891682,large_gap,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
535,205.252575,211.30444717387502,205.15,212.7,205.61,109810.12762500001,113047.87923802313,3237.7516130231234,3149.6999319186107,88.05168110451247,40.0,7.688601236774298,28.261969809505782,0.22285800686302315,3.2943038287500004,8.583948222619373,0.02864729278798039,take_profit,2026-04-29,2026-04-30,SAPPHIRE,0.8709418773651123,6.434673687118109,0.024403348565101624,2.660117335584344,0.05197873190352221,11.83449024973884,858.2575394039999,normal,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
120,938.56905,949.7249,938.1,966.0,950.2,112628.286,113966.98800000001,1338.7020000000193,1250.1801155414794,88.52188445854,40.0,7.817536952999999,28.491747000000004,0.22659527399999999,3.3788485799999997,8.60715665154,0.011054026600048806,close_proxy,2026-04-30,2026-05-04,BAJFINANCE,0.41183891892433167,3.3863067305244576,0.017997756600379944,3.883812763536688,0.02637597194694314,2.804941097975611,2564.0322864,normal,expected_return_rank,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892,0.016521191224455833,0.22269688956455475
25,4561.2795,4608.0948,4559.0,4677.5,4610.4,114031.98749999999,115202.37,1170.382500000007,1081.399582823682,88.982917176325,40.0,7.908585333749999,28.8005925,0.22923435749999999,3.4209596249999996,8.623545360075,0.009457138576216134,close_proxy,2026-05-04,2026-05-05,HAL,0.4741233289241791,3.5382178757244276,0.016650311648845673,3.6286641981366903,0.022887847978318398,2.3292211635735214,1295.4314615,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
