actual_regime,strategy,median,mean,count
BEARISH,BATMAN,-0.001487238735385,-0.0021192685422308983,78
BEARISH,BEAR_BUTTERFLY,-0.0015239271675999999,-0.0012873959951412817,78
BEARISH,BEAR_CALL_SPREAD,-0.000517264624425,-0.0005207442204307692,78
BEARISH,BEAR_CONDOR,-0.001444346391985004,-0.0016200544455248712,78
BEARISH,BEAR_PUT_SPREAD,-0.0003839115146449996,-0.00040784892599615333,78
BEARISH,BULL_BUTTERFLY,-0.0015600920091749999,-0.0015654750611891026,78
BEARISH,BULL_CALL_SPREAD,-0.00138504100131,-0.0013820337838923076,78
BEARISH,BULL_CONDOR,-0.002147291635015,-0.0021462738186865385,78
BEARISH,BULL_PUT_SPREAD,-0.001545385895565,-0.0015175591621487184,78
BEARISH,CALL_RATIO_BACKSPREAD,-0.0010117004411500001,-0.0011597567390794871,78
BEARISH,CALL_RATIO_SPREAD,-0.0008933380861500001,-0.0007463120589512821,78
BEARISH,DOUBLE_PLATEAU,-0.0030620216946749997,-0.0028528710563303842,78
BEARISH,JADE_LIZARD,-0.001803268180930002,-0.0024453962828594887,78
BEARISH,LONG_CALENDAR_CALL,-0.00130019889984,-0.0014000353356073332,75
BEARISH,LONG_CALENDAR_PUT,-0.0007724155399600005,-0.001138363849301468,75
BEARISH,LONG_CALL,-0.001592247370555,-0.0017000772964685896,78
BEARISH,LONG_IRON_BUTTERFLY,-0.002060861840665,-0.0020383033825794876,78
BEARISH,LONG_IRON_CONDOR,-0.0021975370054900002,-0.002011357492187308,78
BEARISH,LONG_PUT,0.0006315038802200036,0.0012733073220691042,78
BEARISH,LONG_STRADDLE,-0.0008084782473899947,-0.00042676997439948527,78
BEARISH,LONG_STRANGLE,-0.0010454623819499999,-0.0005485027379158961,78
BEARISH,LONG_SYNTHETIC_FUTURE,-0.0031927955031250017,-0.0039380580542123095,78
BEARISH,PUT_RATIO_BACKSPREAD,-0.0013651436613299997,-0.0005524533172103836,78
BEARISH,PUT_RATIO_SPREAD,-0.00055596154088,-0.0013729564832796165,78
BEARISH,RANGE_FORWARD,-0.0020953352687549985,-0.002950080581576155,78
BEARISH,REVERSE_JADE_LIZARD,-0.0009450026341300035,-0.0008941620069524361,78
BEARISH,REVERSE_RISK_REVERSAL,-0.0020953352687549985,-0.002950080581576155,78
BEARISH,RISK_REVERSAL,0.00018649225464499814,0.0010384651081712833,78
BEARISH,SHORT_CALL,0.0006406043760450001,0.0007481801130801283,78
BEARISH,SHORT_IRON_BUTTERFLY,-0.0017715913347699998,-0.0017898827098884607,78
BEARISH,SHORT_IRON_CONDOR,-0.001631452357605004,-0.0018073646960770511,78
BEARISH,SHORT_PUT,-0.0015938710665800036,-0.00223798075774372,78
BEARISH,SHORT_STRADDLE,-0.0011032791100900052,-0.0014898006446635915,78
BEARISH,SHORT_STRANGLE,-0.0008606160446500001,-0.0013631127354889756,78
BEARISH,SHORT_SYNTHETIC_FUTURE,0.0012794209002750018,0.002021487435149233,78
BEARISH,STRAP,-0.00171843744897,-0.0016543020256815366,78
BEARISH,STRIP,0.00022608393010500365,0.0013251595127800038,78
BULLISH,BATMAN,-0.001568802846629989,-0.0017994999009750818,122
BULLISH,BEAR_BUTTERFLY,-0.00154353071566,-0.0015431982979221312,122
BULLISH,BEAR_CALL_SPREAD,-0.0015046939772249998,-0.0014925044879243446,122
BULLISH,BEAR_CONDOR,-0.002117291620415,-0.002138219359153033,122
BULLISH,BEAR_PUT_SPREAD,-0.001350353391935,-0.001356204268994836,122
BULLISH,BULL_BUTTERFLY,-0.0015476340327799996,-0.0013108869015651641,122
BULLISH,BULL_CALL_SPREAD,-0.00042652098867499973,-0.0004292937520800816,122
BULLISH,BULL_CONDOR,-0.0016362432351349943,-0.0016572574151726227,122
BULLISH,BULL_PUT_SPREAD,-0.000551895758045,-0.0005468897166587705,122
BULLISH,CALL_RATIO_BACKSPREAD,-0.00110983712473,-0.0007819174970938527,122
BULLISH,CALL_RATIO_SPREAD,-0.0008022856752300034,-0.0011400188318987702,122
BULLISH,DOUBLE_PLATEAU,-0.0030607269170550015,-0.0028540851994872953,122
BULLISH,JADE_LIZARD,-0.0008475570039649965,-0.0008300782145120493,122
BULLISH,LONG_CALENDAR_CALL,-0.0009097671097799999,-0.001144272009005777,116
BULLISH,LONG_CALENDAR_PUT,-0.0011671108991550003,-0.0011341469858237932,116
BULLISH,LONG_CALL,0.000750926195634991,0.0010261166611024602,122
BULLISH,LONG_IRON_BUTTERFLY,-0.0020559245324849994,-0.002039394204583115,122
BULLISH,LONG_IRON_CONDOR,-0.0022162709398149995,-0.002016386733178361,122
BULLISH,LONG_PUT,-0.001638267802835,-0.0017540897175753278,122
BULLISH,LONG_STRADDLE,-0.0011192075517300038,-0.0007279730564728675,122
BULLISH,LONG_STRANGLE,-0.0012731685948550037,-0.0008523886254512286,122
