actual_regime,strategy,median,mean,count
BEARISH,BATMAN,-0.00152133732164,-0.0020602523345101503,133
BEARISH,BEAR_BUTTERFLY,-0.0015382411572899997,-0.001325155823089022,133
BEARISH,BEAR_CALL_SPREAD,-0.0005293384719100001,-0.0005338708908586467,133
BEARISH,BEAR_CONDOR,-0.00162593901739,-0.0016426991665663155,133
BEARISH,BEAR_PUT_SPREAD,-0.0003951136983399999,-0.00041762694019112747,133
BEARISH,BULL_BUTTERFLY,-0.00155483967723,-0.001558627100661128,133
BEARISH,BULL_CALL_SPREAD,-0.0013717188669100002,-0.0013688507142421054,133
BEARISH,BULL_CONDOR,-0.00213353797595,-0.0021349028094139097,133
BEARISH,BULL_PUT_SPREAD,-0.00152958748909,-0.001509117825378346,133
BEARISH,CALL_RATIO_BACKSPREAD,-0.00105509238335,-0.001167041218200376,133
BEARISH,CALL_RATIO_SPREAD,-0.0008506300683500001,-0.0007390171668093984,133
BEARISH,DOUBLE_PLATEAU,-0.0030686702940500004,-0.00288378292375015,133
BEARISH,JADE_LIZARD,-0.0018381078696900074,-0.002450408489821278,133
BEARISH,LONG_CALENDAR_CALL,-0.00133498670468,-0.0013982593474940476,126
BEARISH,LONG_CALENDAR_PUT,-0.0007034095090549892,-0.000908837861955714,126
BEARISH,LONG_CALL,-0.00154397593887,-0.0016815294914833082,133
BEARISH,LONG_IRON_BUTTERFLY,-0.0020547262621399996,-0.002042988716236993,133
BEARISH,LONG_IRON_CONDOR,-0.00221228892455,-0.0020459001799582703,133
BEARISH,LONG_PUT,0.0006873354588299999,0.0012667294544583458,133
BEARISH,LONG_STRADDLE,-0.000833936600929993,-0.0004148000370249625,133
BEARISH,LONG_STRANGLE,-0.0010552834612599963,-0.0005406926804969929,133
BEARISH,LONG_SYNTHETIC_FUTURE,-0.003218050143130007,-0.003913501558298647,133
BEARISH,PUT_RATIO_BACKSPREAD,-0.0013279910001399997,-0.000605569488073684,133
BEARISH,PUT_RATIO_SPREAD,-0.0005920323046600002,-0.001321235167700752,133
BEARISH,RANGE_FORWARD,-0.002207734089030007,-0.002947903316583458,133
BEARISH,REVERSE_JADE_LIZARD,-0.0009494632019200146,-0.0009123934491339848,133
BEARISH,REVERSE_RISK_REVERSAL,-0.002207734089030007,-0.002947903316583458,133
BEARISH,RISK_REVERSAL,0.0003004269568700073,0.001035533018678195,133
BEARISH,SHORT_CALL,0.0005924467352300001,0.0007296760310753383,133
BEARISH,SHORT_IRON_BUTTERFLY,-0.0017774774411300001,-0.0017864776544332327,133
BEARISH,SHORT_IRON_CONDOR,-0.0016171167646800001,-0.0017740305299988725,133
BEARISH,SHORT_PUT,-0.00164795863797,-0.0022319720668153385,133
BEARISH,SHORT_STRADDLE,-0.0010797734786300072,-0.00150229603574,133
BEARISH,SHORT_STRANGLE,-0.0008504518239600039,-0.0013716776174082703,133
BEARISH,SHORT_SYNTHETIC_FUTURE,0.0013066276727700071,0.001996405485533684,133
BEARISH,STRAP,-0.0018331233723399964,-0.00162379251822797,133
BEARISH,STRIP,0.00029818775406000015,0.0013308315419224058,133
BULLISH,BATMAN,-0.0015534631800599983,-0.001783194824535466,172
BULLISH,BEAR_BUTTERFLY,-0.0015447448691649998,-0.001546045832875,172
BULLISH,BEAR_CALL_SPREAD,-0.0015165649853699998,-0.0015120944635838955,172
BULLISH,BEAR_CONDOR,-0.002117291620415,-0.0021352570317618026,172
BULLISH,BEAR_PUT_SPREAD,-0.0013686009756500002,-0.0013719247288684884,172
BULLISH,BULL_BUTTERFLY,-0.00155724507121,-0.0013477742799729068,172
BULLISH,BULL_CALL_SPREAD,-0.00040579809120500017,-0.00041064224384668586,172
BULLISH,BULL_CONDOR,-0.0017084584188649986,-0.0016806616342050005,172
BULLISH,BULL_PUT_SPREAD,-0.0005362132306500001,-0.0005315777219498838,172
BULLISH,CALL_RATIO_BACKSPREAD,-0.0011159188761550001,-0.0007465513962294178,172
BULLISH,CALL_RATIO_SPREAD,-0.0007976456065349963,-0.0011765836965172102,172
BULLISH,DOUBLE_PLATEAU,-0.00308618843141,-0.002893820112847907,172
BULLISH,JADE_LIZARD,-0.000832117901645,-0.0007934492582654076,172
BULLISH,LONG_CALENDAR_CALL,-0.0009833704788999853,-0.0011244263917160008,165
BULLISH,LONG_CALENDAR_PUT,-0.0011488070546199999,-0.0011121185759679394,165
BULLISH,LONG_CALL,0.0009007462142950074,0.0011911724650937219,172
BULLISH,LONG_IRON_BUTTERFLY,-0.0020559245324849994,-0.002043672185533779,172
BULLISH,LONG_IRON_CONDOR,-0.0022352385233499997,-0.002059285507677907,172
BULLISH,LONG_PUT,-0.00175106788413,-0.0018484948609613955,172
BULLISH,LONG_STRADDLE,-0.0010056397545849857,-0.0006573223958676734,172
BULLISH,LONG_STRANGLE,-0.001145477625435,-0.0007854136367916852,172
BULLISH,LONG_SYNTHETIC_FUTURE,0.0017653999162950019,0.0020874202760230243,172
BULLISH,PUT_RATIO_BACKSPREAD,-0.0012144000700850003,-0.0013001846928438372,172
BULLISH,PUT_RATIO_SPREAD,-0.0006919609075849999,-0.0006066111280182558,172
BULLISH,RANGE_FORWARD,0.000760424618185011,0.0011189820281804078,172
BULLISH,REVERSE_JADE_LIZARD,-0.0019809848620550145,-0.0023651470118337217,172
BULLISH,REVERSE_RISK_REVERSAL,0.000760424618185011,0.0011189820281804078,172
BULLISH,RISK_REVERSAL,-0.002670557655215011,-0.0030296402418195935,172
BULLISH,SHORT_CALL,-0.0018607344050050074,-0.002154506359671396,172
BULLISH,SHORT_IRON_BUTTERFLY,-0.0017731652903000001,-0.0017825669727151742,172
BULLISH,SHORT_IRON_CONDOR,-0.0015890692105400002,-0.0017575930803494185,172
BULLISH,SHORT_PUT,0.00079905049997,0.0008962478109293023,172
BULLISH,SHORT_STRADDLE,-0.0009102276347850145,-0.0012582585487420938,172
BULLISH,SHORT_STRANGLE,-0.0007642757156349999,-0.0011252445768475006,172
BULLISH,SHORT_SYNTHETIC_FUTURE,-0.0036810998621050017,-0.0040030012206327915,172
BULLISH,STRAP,0.00041751371009000004,0.0010117415576206996,172
BULLISH,STRIP,-0.00217211085973,-0.002033206116797906,172
RANGE_BOUND,BATMAN,-0.0015600132716149999,-0.0014206406193438892,90
RANGE_BOUND,BEAR_BUTTERFLY,-0.0015059708073400001,-0.0013673018852092228,90
RANGE_BOUND,BEAR_CALL_SPREAD,-0.0006683875817699999,-0.0008316875150855556,90
RANGE_BOUND,BEAR_CONDOR,-0.002065308240519998,-0.001935394318753556,90
RANGE_BOUND,BEAR_PUT_SPREAD,-0.0013260557261699927,-0.001184953892204223,90
RANGE_BOUND,BULL_BUTTERFLY,-0.0014562932709250033,-0.0013000576924727773,90
RANGE_BOUND,BULL_CALL_SPREAD,-0.0012364667863199999,-0.0010741285275344442,90
RANGE_BOUND,BULL_CONDOR,-0.0020383695717550035,-0.0018654338042893332,90
RANGE_BOUND,BULL_PUT_SPREAD,-0.0005772417496649965,-0.000721430656917555,90
RANGE_BOUND,CALL_RATIO_BACKSPREAD,-0.001029078287795,-0.0011025749413341107,90
RANGE_BOUND,CALL_RATIO_SPREAD,-0.0008757721602950001,-0.0008032606276730002,90
RANGE_BOUND,DOUBLE_PLATEAU,-0.0026799382701850104,-0.002667359577682,90
RANGE_BOUND,JADE_LIZARD,-0.00038888159254000013,-0.00034180447978411096,90
RANGE_BOUND,LONG_CALENDAR_CALL,-0.0007724305787699926,-0.0007369144746694316,88
RANGE_BOUND,LONG_CALENDAR_PUT,-0.0006423241143349999,-0.000559498525645568,88
RANGE_BOUND,LONG_CALL,-0.001196833690259998,-0.001250454973360889,90
RANGE_BOUND,LONG_IRON_BUTTERFLY,-0.0015477184703999963,-0.0015531181720031104,90
RANGE_BOUND,LONG_IRON_CONDOR,-0.00134126636963,-0.0013553554707016664,90
RANGE_BOUND,LONG_PUT,-0.0016110423435600145,-0.0016344546891750007,90
RANGE_BOUND,LONG_STRADDLE,-0.002778016286424998,-0.00288490966253589,90
RANGE_BOUND,LONG_STRANGLE,-0.002380887953525,-0.0025280961490450004,90
RANGE_BOUND,LONG_SYNTHETIC_FUTURE,-0.0005164510454400072,-0.0005709980044569994,90
RANGE_BOUND,PUT_RATIO_BACKSPREAD,-0.0012092231394950003,-0.0012895027515897777,90
RANGE_BOUND,PUT_RATIO_SPREAD,-0.0006972545769949999,-0.000617379991670889,90
RANGE_BOUND,RANGE_FORWARD,-0.000743973126165,-0.000677707726252778,90
RANGE_BOUND,REVERSE_JADE_LIZARD,-0.00068831416385,-0.0005741139807228885,90
RANGE_BOUND,REVERSE_RISK_REVERSAL,-0.000743973126165,-0.000677707726252778,90
RANGE_BOUND,RISK_REVERSAL,-0.0011581684686649998,-0.001224561179995,90
RANGE_BOUND,SHORT_CALL,0.0002415994333899982,0.0002955210081380003,90
RANGE_BOUND,SHORT_IRON_BUTTERFLY,-0.0022671833745000034,-0.0022590824197386674,90
RANGE_BOUND,SHORT_IRON_CONDOR,-0.00245944390463,-0.0024473628415661117,90
RANGE_BOUND,SHORT_PUT,0.0006522810896400146,0.0006794569689038897,90
RANGE_BOUND,SHORT_STRADDLE,0.0008697829083749984,0.00097497797704189,90
RANGE_BOUND,SHORT_STRANGLE,0.0004794963171750001,0.0006258272427972227,90
RANGE_BOUND,SHORT_SYNTHETIC_FUTURE,-0.0013928123463399927,-0.0013389336810370005,90
RANGE_BOUND,STRAP,-0.0035297110057550003,-0.0036623318847581127,90
RANGE_BOUND,STRIP,-0.003901013656755007,-0.004046359662535891,90
