entry_date,expiry,strategy,gross_pnl,cost,net_pnl,return_on_capital,target_return,pred_regime,pred_close,pred_low,pred_high,selected_rank
2021-01-01,2021-01-07,LONG_CALL,43.90000000000036,47.51208591400001,-3.6120859139996497,-3.61208591399965e-05,0.009766007179527358,BULLISH,14141.08042127299,13852.081448253959,14503.638456893066,3
2021-01-01,2021-01-07,SHORT_PUT,112.7,47.416907265999996,65.28309273400001,0.0006528309273400001,0.009766007179527358,BULLISH,14141.08042127299,13852.081448253959,14503.638456893066,2
2021-01-01,2021-01-07,LONG_SYNTHETIC_FUTURE,156.60000000000036,94.92899317999999,61.67100682000037,0.0006167100682000037,0.009766007179527358,BULLISH,14141.08042127299,13852.081448253959,14503.638456893066,1
2021-01-08,2021-01-14,SHORT_CALL,-173.75000000000037,47.524450321,-221.27445032100036,-0.0022127445032100036,0.01789727852813683,RANGE_BOUND,14437.067836565897,14141.54914657282,14807.805056195573,3
2021-01-08,2021-01-14,SHORT_PUT,115.35,47.421979842999995,67.92802015699999,0.0006792802015699999,0.01789727852813683,RANGE_BOUND,14437.067836565897,14141.54914657282,14807.805056195573,1
2021-01-08,2021-01-14,SHORT_STRADDLE,-58.400000000000375,94.94643016400002,-153.3464301640004,-0.001533464301640004,0.01789727852813683,RANGE_BOUND,14437.067836565897,14141.54914657282,14807.805056195573,2
2021-01-15,2021-01-21,SHORT_CALL,-6.449999999999648,47.539402933000005,-53.98940293299965,-0.0005398940293299965,0.009693260020057437,RANGE_BOUND,14503.238925070347,14205.918856093114,14876.236029636913,3
2021-01-15,2021-01-21,SHORT_PUT,143.85,47.47653397299999,96.373466027,0.0009637346602700001,0.009693260020057437,RANGE_BOUND,14503.238925070347,14205.918856093114,14876.236029636913,1
2021-01-15,2021-01-21,SHORT_STRADDLE,137.40000000000035,95.01593690600001,42.38406309400034,0.0004238406309400034,0.009693260020057437,RANGE_BOUND,14503.238925070347,14205.918856093114,14876.236029636913,2
2021-01-22,2021-01-28,LONG_CALL,-131.2,47.258276416,-178.458276416,-0.0017845827641599999,-0.03940501316050249,BULLISH,14456.837604447532,14161.12870034939,14827.81345347979,3
2021-01-22,2021-01-28,SHORT_PUT,-436.6,47.748626332,-484.34862633200004,-0.0048434862633200005,-0.03940501316050249,BULLISH,14456.837604447532,14161.12870034939,14827.81345347979,2
2021-01-22,2021-01-28,LONG_SYNTHETIC_FUTURE,-567.8,95.00690274800002,-662.806902748,-0.0066280690274799995,-0.03940501316050249,BULLISH,14456.837604447532,14161.12870034939,14827.81345347979,1
2021-01-29,2021-02-04,LONG_CALL,986.0000000000003,49.579924966,936.4200750340003,0.009364200750340003,0.08653011503308017,BULLISH,13780.8015557195,13498.891913805344,14134.465809010886,3
2021-01-29,2021-02-04,SHORT_PUT,225.4,47.632635352,177.767364648,0.0017776736464800002,0.08653011503308017,BULLISH,13780.8015557195,13498.891913805344,14134.465809010886,2
2021-01-29,2021-02-04,LONG_SYNTHETIC_FUTURE,1211.4000000000003,97.212560318,1114.1874396820003,0.011141874396820003,0.08653011503308017,BULLISH,13780.8015557195,13498.891913805344,14134.465809010886,1
2021-02-05,2021-02-11,SHORT_CALL,-99.20000000000073,47.565389206,-146.76538920600072,-0.0014676538920600072,0.017032078308714116,RANGE_BOUND,14992.925977550885,14685.896763740675,15378.103500758467,3
2021-02-05,2021-02-11,SHORT_PUT,170.65,47.527833996999995,123.12216600300002,0.0012312216600300003,0.017032078308714116,RANGE_BOUND,14992.925977550885,14685.896763740675,15378.103500758467,1
2021-02-05,2021-02-11,SHORT_STRADDLE,71.44999999999928,95.09322320300001,-23.64322320300073,-0.0002364322320300073,0.017032078308714116,RANGE_BOUND,14992.925977550885,14685.896763740675,15378.103500758467,2
2021-02-12,2021-02-18,LONG_CALL,-130.3,47.25787665400001,-177.557876654,-0.0017755787665400002,-0.0029911387103476184,BULLISH,15264.92533096297,14953.150018185373,15656.056980237152,3
2021-02-12,2021-02-18,SHORT_PUT,86.20000000000036,47.4461299,38.753870100000356,0.00038753870100000353,-0.0029911387103476184,BULLISH,15264.92533096297,14953.150018185373,15656.056980237152,2
2021-02-12,2021-02-18,LONG_SYNTHETIC_FUTURE,-44.09999999999965,94.704006554,-138.80400655399967,-0.0013880400655399967,-0.0029911387103476184,BULLISH,15264.92533096297,14953.150018185373,15656.056980237152,1
2021-02-19,2021-02-25,LONG_CALL,-23.700000000000728,47.446480984000004,-71.14648098400073,-0.0007114648098400073,0.007576566357509806,BULLISH,15096.922351928886,14788.734374354324,15483.553579659227,3
2021-02-19,2021-02-25,SHORT_PUT,141.05,47.471174268999995,93.57882573100002,0.0009357882573100002,0.007576566357509806,BULLISH,15096.922351928886,14788.734374354324,15483.553579659227,2
2021-02-19,2021-02-25,LONG_SYNTHETIC_FUTURE,117.34999999999928,94.91765525299998,22.432344746999306,0.00022432344746999307,0.007576566357509806,BULLISH,15096.922351928886,14788.734374354324,15483.553579659227,1
2021-02-26,2021-03-04,LONG_CALL,322.3,48.249581356,274.050418644,0.00274050418644,0.036204123209257366,BULLISH,14818.231791458207,14518.445108221276,15194.323338926371,3
2021-02-26,2021-03-04,SHORT_PUT,228.75,47.639047855,181.110952145,0.00181110952145,0.036204123209257366,BULLISH,14818.231791458207,14518.445108221276,15194.323338926371,2
2021-02-26,2021-03-04,LONG_SYNTHETIC_FUTURE,551.05,95.88862921100001,455.16137078899993,0.00455161370789,0.036204123209257366,BULLISH,14818.231791458207,14518.445108221276,15194.323338926371,1
2021-03-05,2021-03-10,LONG_CALL,84.19999999999928,47.772943612,36.42705638799928,0.0003642705638799928,0.017136972055868283,BULLISH,15037.73307675179,14730.243236352024,15423.48847008022,3
2021-03-05,2021-03-10,SHORT_PUT,187.3,47.559705093999995,139.74029490600003,0.0013974029490600004,0.017136972055868283,BULLISH,15037.73307675179,14730.243236352024,15423.48847008022,2
2021-03-05,2021-03-10,LONG_SYNTHETIC_FUTURE,271.4999999999993,95.33264870599999,176.16735129399933,0.0017616735129399933,0.017136972055868283,BULLISH,15037.73307675179,14730.243236352024,15423.48847008022,1
2021-03-12,2021-03-18,SHORT_CALL,159.95,47.50735227100001,112.44264772899999,0.0011244264772899998,-0.03151534076564311,RANGE_BOUND,15082.82162903926,14773.309350019725,15471.11423336704,3
2021-03-12,2021-03-18,SHORT_PUT,-305.8500000000007,47.731113588999996,-353.5811135890007,-0.0035358111358900074,-0.03151534076564311,RANGE_BOUND,15082.82162903926,14773.309350019725,15471.11423336704,1
2021-03-12,2021-03-18,SHORT_STRADDLE,-145.90000000000072,95.23846585999999,-241.1384658600007,-0.002411384658600007,-0.03151534076564311,RANGE_BOUND,15082.82162903926,14773.309350019725,15471.11423336704,2
2021-03-19,2021-03-25,LONG_CALL,-171.6,47.276221288,-218.876221288,-0.00218876221288,-0.02862138251408708,BULLISH,14938.546716981473,14635.099697452537,15319.230268088524,3
2021-03-19,2021-03-25,SHORT_PUT,-254.29999999999964,47.69524513,-301.99524512999966,-0.0030199524512999967,-0.02862138251408708,BULLISH,14938.546716981473,14635.099697452537,15319.230268088524,2
2021-03-19,2021-03-25,LONG_SYNTHETIC_FUTURE,-425.89999999999964,94.971466418,-520.8714664179996,-0.005208714664179996,-0.02862138251408708,BULLISH,14938.546716981473,14635.099697452537,15319.230268088524,1
2021-03-26,2021-04-01,LONG_CALL,246.55000000000035,47.92263474699999,198.62736525300036,0.0019862736525300038,0.023606119724817853,BULLISH,14743.441959143776,14443.037337111482,15120.308729698168,3
2021-03-26,2021-04-01,SHORT_PUT,174.85,47.535873552999995,127.314126447,0.0012731412644700001,0.023606119724817853,BULLISH,14743.441959143776,14443.037337111482,15120.308729698168,2
2021-03-26,2021-04-01,LONG_SYNTHETIC_FUTURE,421.4000000000003,95.4585083,325.9414917000003,0.0032594149170000032,0.023606119724817853,BULLISH,14743.441959143776,14443.037337111482,15120.308729698168,1
2021-04-05,2021-04-08,LONG_CALL,122.54999999999964,47.673602545,74.87639745499965,0.0007487639745499965,0.015372369195391311,BULLISH,14798.948070437571,14496.693744756592,15178.135350695997,3
2021-04-05,2021-04-08,SHORT_PUT,153.6,47.495197228,106.104802772,0.0010610480277199999,0.015372369195391311,BULLISH,14798.948070437571,14496.693744756592,15178.135350695997,2
2021-04-05,2021-04-08,LONG_SYNTHETIC_FUTURE,276.14999999999964,95.16879977299999,180.98120022699965,0.0018098120022699965,0.015372369195391311,BULLISH,14798.948070437571,14496.693744756592,15178.135350695997,1
2021-04-09,2021-04-15,LONG_CALL,-101.2,47.24495101600001,-148.444951016,-0.00148444951016,-0.019973941193063505,BULLISH,14977.404109917321,14671.22314819725,15361.517474978249,3
2021-04-09,2021-04-15,SHORT_PUT,-149.55,47.641288441,-197.191288441,-0.0019719128844100002,-0.019973941193063505,BULLISH,14977.404109917321,14671.22314819725,15361.517474978249,2
2021-04-09,2021-04-15,LONG_SYNTHETIC_FUTURE,-250.75,94.88623945700002,-345.636239457,-0.00345636239457,-0.019973941193063505,BULLISH,14977.404109917321,14671.22314819725,15361.517474978249,1
