entry_date,expiry,strategy,gross_pnl,cost,net_pnl,return_on_capital,target_return
2017-01-27,2017-02-23,LONG_CALL,140.14999999999964,47.825563867,92.32443613299964,0.0009232443613299963,0.03125900981421026
2017-01-27,2017-02-23,LONG_PUT,-131.95,47.258609551,-179.208609551,-0.00179208609551,0.03125900981421026
2017-01-27,2017-02-23,SHORT_CALL,-141.14999999999964,47.619987547,-188.76998754699963,-0.0018876998754699963,0.03125900981421026
2017-01-27,2017-02-23,SHORT_PUT,131.45,47.452798140999995,83.997201859,0.00083997201859,0.03125900981421026
2017-01-27,2017-02-23,BULL_CALL_SPREAD,49.55,95.30647721299998,-45.75647721299998,-0.00045756477212999984,0.03125900981421026
2017-01-27,2017-02-23,BEAR_CALL_SPREAD,-51.55,95.232168713,-146.78216871299998,-0.0014678216871299998,0.03125900981421026
2017-01-27,2017-02-23,BULL_PUT_SPREAD,37.249999999999986,94.694639897,-57.444639897000016,-0.0005744463989700002,0.03125900981421026
2017-01-27,2017-02-23,BEAR_PUT_SPREAD,-38.249999999999986,94.63914739700002,-132.889147397,-0.00132889147397,0.03125900981421026
2017-01-27,2017-02-23,LONG_STRADDLE,8.199999999999648,95.08417341800002,-86.88417341800037,-0.0008688417341800038,0.03125900981421026
2017-01-27,2017-02-23,SHORT_STRADDLE,-9.699999999999648,95.07278568799998,-104.77278568799963,-0.0010477278568799962,0.03125900981421026
2017-01-27,2017-02-23,LONG_STRANGLE,-4.600000000000364,94.85402292200001,-99.45402292200038,-0.0009945402292200038,0.03125900981421026
2017-01-27,2017-02-23,SHORT_STRANGLE,3.100000000000364,94.861451192,-91.76145119199964,-0.0009176145119199964,0.03125900981421026
2017-01-27,2017-02-23,LONG_IRON_CONDOR,-36.0,189.494962324,-225.494962324,-0.00225494962324,0.03125900981421026
2017-01-27,2017-02-23,SHORT_IRON_CONDOR,33.0,189.545677324,-156.545677324,-0.00156545677324,0.03125900981421026
2017-01-27,2017-02-23,LONG_IRON_BUTTERFLY,-14.300000000000011,189.92680861,-204.22680861,-0.0020422680861000003,0.03125900981421026
