model,mae,rmse,direction_accuracy,regime_accuracy,correlation,samples
ridge,0.013702005540815868,0.0168258297282513,0.4,0.2,-0.2703537027857532,25
hgbr,0.017156678893987837,0.020056769972772587,0.4,0.24,0.0266772553545797,25
rf,0.012227489189640506,0.015681813760277934,0.48,0.28,0.017075387631781763,25
et,0.011872501165437574,0.014947308191639343,0.4,0.28,-0.01971921727928257,25
ensemble,0.012977883125182936,0.015887195087749474,0.28,0.28,-0.04685867436130295,25
