window,model,mae,rmse,direction_accuracy,regime_accuracy,correlation,samples
1,ridge,0.02242049930826017,0.028729439535247384,0.39622641509433965,0.18867924528301888,-0.30451885653339744,53
1,hgbr,0.02168697424840299,0.02906282312787881,0.33962264150943394,0.3018867924528302,-0.38873279404822475,53
1,rf,0.015462053914896192,0.02139040120102632,0.6037735849056604,0.37735849056603776,0.029555122849165723,53
1,et,0.01598566001014814,0.02197498804888937,0.5849056603773585,0.20754716981132076,-0.2548101146618811,53
1,ensemble,0.018072060358226245,0.024116213045034227,0.37735849056603776,0.2641509433962264,-0.3928633827448632,53
2,ridge,0.017752279155744705,0.0223394371561581,0.5,0.36538461538461536,-0.09850771388806029,52
2,hgbr,0.021909623082612257,0.02808628901019923,0.40384615384615385,0.2692307692307692,-0.31463059825001966,52
2,rf,0.016967292711331076,0.02251654416562612,0.5,0.23076923076923078,-0.2571220329655878,52
2,et,0.016369655526347525,0.021676479165592837,0.5384615384615384,0.19230769230769232,-0.2368201343498195,52
2,ensemble,0.01771498938643033,0.022812146442024995,0.4423076923076923,0.21153846153846154,-0.3093615985427119,52
3,ridge,0.010983730949916583,0.013939309693257757,0.46153846153846156,0.2692307692307692,-0.04550131107256474,52
3,hgbr,0.01132325737192932,0.014292412923893999,0.5192307692307693,0.4423076923076923,0.18168879624225254,52
3,rf,0.009538979226187813,0.012177421136037987,0.6346153846153846,0.28846153846153844,0.19580749917181373,52
3,et,0.009497272771439517,0.012056821750808164,0.6538461538461539,0.34615384615384615,0.24420716296102682,52
3,ensemble,0.009510456890633902,0.012295186400840454,0.5961538461538461,0.3269230769230769,0.19221645513244223,52
4,ridge,0.01283851305403892,0.016283321292816802,0.5192307692307693,0.23076923076923078,0.001279345336645432,52
4,hgbr,0.013818170844613491,0.017529688596729313,0.5,0.34615384615384615,-0.19832477573902685,52
4,rf,0.0117361749583584,0.015181945255801238,0.5576923076923077,0.28846153846153844,-0.0962309663522006,52
4,et,0.011854060929365027,0.015218249539576865,0.5192307692307693,0.23076923076923078,-0.09266947036267412,52
4,ensemble,0.012158136842859324,0.015579584947213815,0.5576923076923077,0.2692307692307692,-0.13899742180472424,52
5,ridge,0.009298153632258667,0.01243558276219868,0.5740740740740741,0.42592592592592593,0.2994149216240091,54
5,hgbr,0.010734104265567476,0.014205782658770526,0.5185185185185185,0.2777777777777778,0.02155061478929591,54
5,rf,0.009846839714470682,0.013188696766054048,0.5,0.25925925925925924,0.10584416197742316,54
5,et,0.009739262885736757,0.013168645966413246,0.48148148148148145,0.37037037037037035,0.0732967863642599,54
5,ensemble,0.009672846265711165,0.013002463411356047,0.5185185185185185,0.3333333333333333,0.1454886512709102,54
6,ridge,0.017906567920888964,0.022346848384590456,0.4166666666666667,0.16666666666666666,-0.4696716916341885,12
6,hgbr,0.014956369899485532,0.017965090353919844,0.5833333333333334,0.08333333333333333,0.2529220718129578,12
6,rf,0.014893929007255835,0.017853972028730493,0.6666666666666666,0.08333333333333333,0.2336307232061005,12
6,et,0.01564079404611624,0.018694395348079894,0.3333333333333333,0.16666666666666666,0.15012678569997262,12
6,ensemble,0.015782232225338123,0.019079308189302122,0.5,0.08333333333333333,-0.13778160025407435,12
