model,mae,rmse,direction_accuracy,regime_accuracy,correlation,samples
ridge,0.012167735759025135,0.015479427547582213,0.5116279069767442,0.313953488372093,-0.0004994503119252448,172
hgbr,0.013686698450472528,0.017811973340565074,0.5058139534883721,0.3546511627906977,0.003606232974340283,172
rf,0.01182193653731336,0.01553657377490932,0.4941860465116279,0.29651162790697677,-0.0003790141375350705,172
et,0.010858901003637806,0.013981441115003908,0.4941860465116279,0.27906976744186046,0.04564970418808446,172
ensemble,0.011148819436245794,0.014649029232263099,0.5174418604651163,0.3488372093023256,0.007897049608388631,172
