portfolio_size,expert,trades,net_pnl,win_rate,profit_factor,avg_return_pct
1,volatility,1,-288.46039887852606,0.0,0.0,-0.0028846039887852606
3,mean_reversion,1,-115.12732974299678,0.0,0.0,-0.0023025465948599355
3,volatility,1,-167.83019943926303,0.0,0.0,-0.0033566039887852604
5,mean_reversion,1,-115.12732974299678,0.0,0.0,-0.0023025465948599355
5,volatility,1,-167.83019943926303,0.0,0.0,-0.0033566039887852604
